week,position,song,artist
9/8/1997,27,More Than This,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
9/8/1997,28,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
9/8/1997,29,I Don't Want To Wait,Paula Cole
9/8/1997,30,Never Make A Promise,Dru Hill
9/8/1997,31,Not Tonight,"Lil' Kim Feat. Da Brat. Left Eye, Elliott And Angie Martinez"
9/8/1997,32,Up Jumps Da Boogie,Magoo &amp; Timbaland
9/8/1997,33,Fly,Sugar Ray
9/8/1997,34,A Change Would Do You Good,Sheryl Crow
9/8/1997,35,Say You'll Be There,Spice Girls
9/8/1997,36,All Cried Out,Allure &amp; 112
9/8/1997,37,C U When U Get There,Coolio &amp; 40 Thevz
9/8/1997,38,Someone,SWV (featuring Puff Daddy)
9/8/1997,39,Mmm Bop,Hanson
9/8/1997,40,I Miss My Homies,Master P Featuring Pimp C And The Shocker
9/15/1997,1,Quit Playing Games (with My Heart),Backstreet Boys
9/15/1997,2,2 Become 1,Spice Girls
9/15/1997,3,Semi-charmed Life,Third Eye Blind
9/15/1997,4,Foolish Games,Jewel
9/15/1997,5,Honey,Mariah Carey
9/15/1997,6,All For You,Sister Hazel
9/15/1997,7,Do You Know,Robyn
9/15/1997,8,I'll Be Missing You,Puff Daddy &amp; Faith Evans
9/15/1997,9,Invisible Man,98 Degrees
9/15/1997,10,Push,Matchbox 20
9/15/1997,11,Bitch,Meredith Brooks
9/15/1997,12,Sunny Came Home,Shawn Colvin
9/15/1997,13,Men In Black,Will Smith
9/15/1997,14,How Bizarre,Omc
9/15/1997,15,How Do I Live,LeAnn Rimes
9/15/1997,16,Barbie Girl,Aqua
9/15/1997,17,The Freshmen,Verve Pipe
9/15/1997,18,Building A Mystery,Sarah McLachlan
9/15/1997,19,Where's The Love?,Hanson
9/15/1997,20,Return Of The Mack,Mark Morrison
9/15/1997,21,Coco Jamboo,Mr.President
9/15/1997,22,The Difference,Wallflowers
9/15/1997,23,Fly,Sugar Ray
9/15/1997,24,"Mo Money,mo Problems",Notorious B.I.G.
9/15/1997,25,You Make Me Wanna...,Usher
9/15/1997,26,If You Could Only See,Tonic
9/15/1997,27,I Don't Want To Wait,Paula Cole
9/15/1997,28,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
9/15/1997,29,Up Jumps Da Boogie,Magoo &amp; Timbaland
9/15/1997,30,All Cried Out,Allure &amp; 112
9/15/1997,31,Crash Into Me,Dave Matthews Band
9/15/1997,32,Never Make A Promise,Dru Hill
9/15/1997,33,Not Tonight,"Lil' Kim Feat. Da Brat. Left Eye, Elliott And Angie Martinez"
9/15/1997,34,A Change Would Do You Good,Sheryl Crow
9/15/1997,35,You Should Be Mine (Don't Waste Your Time),Brian McKnight &amp; Mase
9/15/1997,36,What About Us,Total
9/15/1997,37,The Impression That I Get,Mighty Mighty Bosstones
9/15/1997,38,More Than This,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
9/15/1997,39,Barely Breathing,Duncan Sheik
9/15/1997,40,Someone,SWV (featuring Puff Daddy)
9/22/1997,1,Foolish Games,Jewel
9/22/1997,2,Quit Playing Games (with My Heart),Backstreet Boys
9/22/1997,3,Semi-charmed Life,Third Eye Blind
9/22/1997,4,2 Become 1,Spice Girls
