,week,position,song,artist
40843,2/4/2017,3,Black Beatles,Rae Sremmurd
40844,2/4/2017,4,Closer,Chainsmokers
40845,2/4/2017,5,Starboy,Weeknd
40846,2/4/2017,6,Bad Things,Machine Gun Kelly
40847,2/4/2017,7,Paris,Chainsmokers
40848,2/4/2017,8,24K Magic,Bruno Mars
40849,2/4/2017,9,I Don't Wanna Live Forever,Zayn
40850,2/4/2017,10,Castle On The Hill,Ed Sheeran
40851,2/4/2017,11,Side To Side,Ariana Grande
40852,2/4/2017,12,Ville Mentality,J. Cole
40853,2/4/2017,13,OOOUUU,Young M.A
40854,2/4/2017,14,Love On The Brain,Rihanna
40855,2/4/2017,15,I Feel It Coming,Weeknd
40856,2/4/2017,16,Juju On That Beat (TZ Anthem),Zay Hilfigerrr
40857,2/4/2017,17,Immortal,J. Cole
40858,2/4/2017,18,Let Me Love You,DJ Snake
40859,2/4/2017,19,She's Mine Pt.1,J. Cole
40860,2/4/2017,20,4 Your Eyez Only,J. Cole
40861,2/4/2017,21,Heathens,Twenty One Pilots
40862,2/4/2017,22,X,21 Savage
40863,2/4/2017,23,Used To This,Future
40864,2/4/2017,24,iSpy,Kyle
40865,2/4/2017,25,Blue Ain't Your Color,Keith Urban
40866,2/4/2017,26,"I Hate U, I Love U",Gnash
40867,2/4/2017,27,Deja Vu,J. Cole
40868,2/4/2017,28,How Far I'll Go,Aulii Cravalho
40869,2/4/2017,29,Sidewalks,Weeknd
40870,2/4/2017,30,Say You Won't Let Go,James Arthur
40871,2/4/2017,31,Cheap Thrills,Sia
40872,2/4/2017,32,Water Under The Bridge,Adele
40873,2/4/2017,33,Party Monster,Weeknd
40874,2/4/2017,34,Bounce Back,Big Sean
40875,2/4/2017,35,Mercy,Shawn Mendes
40876,2/4/2017,36,No Heart,21 Savage
40877,2/4/2017,37,Neighbors,J. Cole
40878,2/4/2017,38,Don't Wanna Know,Maroon 5
40879,2/4/2017,39,You Was Right,Lil Uzi Vert
40880,2/4/2017,40,T-Shirt,Migos
40881,2/11/2017,1,Bad And Boujee,Migos
40882,2/11/2017,2,Shape Of You,Ed Sheeran
40883,2/11/2017,3,Closer,Chainsmokers
40884,2/11/2017,4,Bad Things,Machine Gun Kelly
40885,2/11/2017,5,I Don't Wanna Live Forever,Zayn
40886,2/11/2017,6,Paris,Chainsmokers
40887,2/11/2017,7,Starboy,Weeknd
40888,2/11/2017,8,Black Beatles,Rae Sremmurd
40889,2/11/2017,9,24K Magic,Bruno Mars
40890,2/11/2017,10,Castle On The Hill,Ed Sheeran
40891,2/11/2017,11,Side To Side,Ariana Grande
40892,2/11/2017,12,Love On The Brain,Rihanna
40893,2/11/2017,13,Immortal,J. Cole
40894,2/11/2017,14,Ville Mentality,J. Cole
40895,2/11/2017,15,Let Me Love You,DJ Snake
40896,2/11/2017,16,I Feel It Coming,Weeknd
40897,2/11/2017,17,Juju On That Beat (TZ Anthem),Zay Hilfigerrr
40898,2/11/2017,18,X,21 Savage
40899,2/11/2017,19,Heathens,Twenty One Pilots
40900,2/11/2017,20,iSpy,Kyle
40901,2/11/2017,21,4 Your Eyez Only,J. Cole
40902,2/11/2017,22,Deja Vu,J. Cole
40903,2/11/2017,23,How Far I'll Go,Aulii Cravalho
40904,2/11/2017,24,She's Mine Pt.1,J. Cole
40905,2/11/2017,25,Used To This,Future
40906,2/11/2017,26,Water Under The Bridge,Adele
40907,2/11/2017,27,Sidewalks,Weeknd
40908,2/11/2017,28,Blue Ain't Your Color,Keith Urban
40909,2/11/2017,29,T-Shirt,Migos
40910,2/11/2017,30,"I Hate U, I Love U",Gnash
40911,2/11/2017,31,Neighbors,J. Cole
40912,2/11/2017,32,Say You Won't Let Go,James Arthur
40913,2/11/2017,33,Mercy,Shawn Mendes
40914,2/11/2017,34,You Was Right,Lil Uzi Vert
40915,2/11/2017,35,Bounce Back,Big Sean
40916,2/11/2017,36,Party Monster,Weeknd
40917,2/11/2017,37,A Guy With A Girl,Blake Shelton
40918,2/11/2017,38,Dirt On My Boots,Jon Pardi
40919,2/11/2017,39,Cheap Thrills,Sia
40920,2/11/2017,40,No Heart,21 Savage
40921,2/18/2017,1,Shape Of You,Ed Sheeran
40922,2/18/2017,2,Bad And Boujee,Migos
40923,2/18/2017,3,I Don't Wanna Live Forever,Zayn
40924,2/18/2017,4,Bad Things,Machine Gun Kelly
40925,2/18/2017,5,Closer,Chainsmokers
40926,2/18/2017,6,Paris,Chainsmokers
40927,2/18/2017,7,24K Magic,Bruno Mars
40928,2/18/2017,8,Starboy,Weeknd
40929,2/18/2017,9,Castle On The Hill,Ed Sheeran
40930,2/18/2017,10,Side To Side,Ariana Grande
40931,2/18/2017,11,Black Beatles,Rae Sremmurd
40932,2/18/2017,12,Juju On That Beat (TZ Anthem),Zay Hilfigerrr
40933,2/18/2017,13,Love On The Brain,Rihanna
40934,2/18/2017,14,Let Me Love You,DJ Snake
40935,2/18/2017,15,Immortal,J. Cole
40936,2/18/2017,16,iSpy,Kyle
40937,2/18/2017,17,I Feel It Coming,Weeknd
40938,2/18/2017,18,Ville Mentality,J. Cole
40939,2/18/2017,19,Heathens,Twenty One Pilots
40940,2/18/2017,20,How Far I'll Go,Aulii Cravalho
40941,2/18/2017,21,Blue Ain't Your Color,Keith Urban
40942,2/18/2017,22,4 Your Eyez Only,J. Cole
40943,2/18/2017,23,X,21 Savage
40944,2/18/2017,24,Deja Vu,J. Cole
40945,2/18/2017,25,Party Monster,Weeknd
40946,2/18/2017,26,Neighbors,J. Cole
40947,2/18/2017,27,You Was Right,Lil Uzi Vert
40948,2/18/2017,28,T-Shirt,Migos
40949,2/18/2017,29,Used To This,Future
40950,2/18/2017,30,She's Mine Pt.1,J. Cole
40951,2/18/2017,31,Body Like A Back Road,Sam Hunt
40952,2/18/2017,32,Water Under The Bridge,Adele
40953,2/18/2017,33,Congratulations,Post Malone
40954,2/18/2017,34,A Guy With A Girl,Blake Shelton
40955,2/18/2017,35,No Heart,21 Savage
40956,2/18/2017,36,Play That Song,Train
40957,2/18/2017,37,Cheap Thrills,Sia
40958,2/18/2017,38,Dirt On My Boots,Jon Pardi
40959,2/18/2017,39,Sidewalks,Weeknd
40960,2/18/2017,40,Say You Won't Let Go,James Arthur
40961,2/25/2017,1,Shape Of You,Ed Sheeran
40962,2/25/2017,2,Bad And Boujee,Migos
40963,2/25/2017,3,I Don't Wanna Live Forever,Zayn
40964,2/25/2017,4,Million Reasons,Lady Gaga
40965,2/25/2017,5,Bad Things,Machine Gun Kelly
40966,2/25/2017,6,Bounce Back,Big Sean
40967,2/25/2017,7,Paris,Chainsmokers
40968,2/25/2017,8,24K Magic,Bruno Mars
40969,2/25/2017,9,Closer,Chainsmokers
40970,2/25/2017,10,Side To Side,Ariana Grande
40971,2/25/2017,11,Black Beatles,Rae Sremmurd
40972,2/25/2017,12,Castle On The Hill,Ed Sheeran
40973,2/25/2017,13,Let Me Love You,DJ Snake
40974,2/25/2017,14,Starboy,Weeknd
40975,2/25/2017,15,No Favors,Big Sean
40976,2/25/2017,16,Love On The Brain,Rihanna
40977,2/25/2017,17,Ville Mentality,J. Cole
40978,2/25/2017,18,iSpy,Kyle
40979,2/25/2017,19,How Far I'll Go,Aulii Cravalho
40980,2/25/2017,20,Immortal,J. Cole
40981,2/25/2017,21,I Feel It Coming,Weeknd
40982,2/25/2017,22,X,21 Savage
40983,2/25/2017,23,T-Shirt,Migos
40984,2/25/2017,24,Heathens,Twenty One Pilots
40985,2/25/2017,25,Party Monster,Weeknd
40986,2/25/2017,26,Blue Ain't Your Color,Keith Urban
40987,2/25/2017,27,She's Mine Pt.1,J. Cole
40988,2/25/2017,28,You Was Right,Lil Uzi Vert
40989,2/25/2017,29,Deja Vu,J. Cole
40990,2/25/2017,30,4 Your Eyez Only,J. Cole
40991,2/25/2017,31,Play That Song,Train
40992,2/25/2017,32,A Guy With A Girl,Blake Shelton
40993,2/25/2017,33,Body Like A Back Road,Sam Hunt
40994,2/25/2017,34,Moves,Big Sean
40995,2/25/2017,35,Neighbors,J. Cole
40996,2/25/2017,36,Dirt On My Boots,Jon Pardi
40997,2/25/2017,37,Used To This,Future
40998,2/25/2017,38,Believer,Imagine Dragons
40999,2/25/2017,39,Congratulations,Post Malone
41000,2/25/2017,40,Say You Won't Let Go,James Arthur
41001,3/4/2017,1,Shape Of You,Ed Sheeran
41002,3/4/2017,2,I Don't Wanna Live Forever,Zayn
41003,3/4/2017,3,Bad And Boujee,Migos
41004,3/4/2017,4,Chained To The Rhythm,Katy Perry
41005,3/4/2017,5,Closer,Chainsmokers
41006,3/4/2017,6,That's What I Like,Bruno Mars
41007,3/4/2017,7,Love On The Brain,Rihanna
41008,3/4/2017,8,I Feel It Coming,Weeknd
41009,3/4/2017,9,Side To Side,Ariana Grande
41010,3/4/2017,10,Bad Things,Machine Gun Kelly
41011,3/4/2017,11,Paris,Chainsmokers
41012,3/4/2017,12,Castle On The Hill,Ed Sheeran
41013,3/4/2017,13,Bounce Back,Big Sean
41014,3/4/2017,14,Million Reasons,Lady Gaga
41015,3/4/2017,15,No Favors,Big Sean
41016,3/4/2017,16,Let Me Love You,DJ Snake
41017,3/4/2017,17,Black Beatles,Rae Sremmurd
41018,3/4/2017,18,24K Magic,Bruno Mars
41019,3/4/2017,19,T-Shirt,Migos
41020,3/4/2017,20,Starboy,Weeknd
41021,3/4/2017,21,iSpy,Kyle
41022,3/4/2017,22,Blue Ain't Your Color,Keith Urban
41023,3/4/2017,23,X,21 Savage
41024,3/4/2017,24,Heathens,Twenty One Pilots
41025,3/4/2017,25,Ville Mentality,J. Cole
41026,3/4/2017,26,How Far I'll Go,Aulii Cravalho
41027,3/4/2017,27,4 Your Eyez Only,J. Cole
41028,3/4/2017,28,A Guy With A Girl,Blake Shelton
41029,3/4/2017,29,Party Monster,Weeknd
41030,3/4/2017,30,She's Mine Pt.1,J. Cole
41031,3/4/2017,31,Moves,Big Sean
41032,3/4/2017,32,Body Like A Back Road,Sam Hunt
41033,3/4/2017,33,Deja Vu,J. Cole
41034,3/4/2017,34,Issues,Julia Michaels
41035,3/4/2017,35,You Was Right,Lil Uzi Vert
41036,3/4/2017,36,Congratulations,Post Malone
41037,3/4/2017,37,Believer,Imagine Dragons
41038,3/4/2017,38,Play That Song,Train
41039,3/4/2017,39,Neighbors,J. Cole
41040,3/4/2017,40,Dirt On My Boots,Jon Pardi
41041,3/11/2017,1,Shape Of You,Ed Sheeran
41042,3/11/2017,2,Bad And Boujee,Migos
41043,3/11/2017,3,I Don't Wanna Live Forever,Zayn
41044,3/11/2017,4,That's What I Like,Bruno Mars
41045,3/11/2017,5,Closer,Chainsmokers
41046,3/11/2017,6,Love On The Brain,Rihanna
41047,3/11/2017,7,Chained To The Rhythm,Katy Perry
41048,3/11/2017,8,Paris,Chainsmokers
41049,3/11/2017,9,It Ain't Me,Kygo
41050,3/11/2017,10,Bad Things,Machine Gun Kelly
41051,3/11/2017,11,Bounce Back,Big Sean
41052,3/11/2017,12,Side To Side,Ariana Grande
41053,3/11/2017,13,Million Reasons,Lady Gaga
41054,3/11/2017,14,T-Shirt,Migos
41055,3/11/2017,15,I Feel It Coming,Weeknd
41056,3/11/2017,16,Castle On The Hill,Ed Sheeran
41057,3/11/2017,17,Cold,Maroon 5
41058,3/11/2017,18,24K Magic,Bruno Mars
41059,3/11/2017,19,Let Me Love You,DJ Snake
41060,3/11/2017,20,No Favors,Big Sean
41061,3/11/2017,21,Party Monster,Weeknd
41062,3/11/2017,22,4 Your Eyez Only,J. Cole
41063,3/11/2017,23,Tunnel Vision,Kodak Black
41064,3/11/2017,24,iSpy,Kyle
41065,3/11/2017,25,X,21 Savage
41066,3/11/2017,26,Issues,Julia Michaels
41067,3/11/2017,27,Blue Ain't Your Color,Keith Urban
41068,3/11/2017,28,Starboy,Weeknd
41069,3/11/2017,29,Black Beatles,Rae Sremmurd
41070,3/11/2017,30,Swang,Rae Sremmurd
41071,3/11/2017,31,How Far I'll Go,Aulii Cravalho
41072,3/11/2017,32,Ville Mentality,J. Cole
41073,3/11/2017,33,Congratulations,Post Malone
41074,3/11/2017,34,Heathens,Twenty One Pilots
41075,3/11/2017,35,How Would You Feel (Paean),Ed Sheeran
41076,3/11/2017,36,Love,Lana Del Rey
41077,3/11/2017,37,Believer,Imagine Dragons
41078,3/11/2017,38,Draco,Future
41079,3/11/2017,39,Body Like A Back Road,Sam Hunt
41080,3/11/2017,40,Play That Song,Train
41081,3/18/2017,1,Shape Of You,Ed Sheeran
41082,3/18/2017,2,Bad And Boujee,Migos
41083,3/18/2017,3,I Don't Wanna Live Forever,Zayn
41084,3/18/2017,4,That's What I Like,Bruno Mars
41085,3/18/2017,5,Something Just Like This,Chainsmokers
41086,3/18/2017,6,Love On The Brain,Rihanna
41087,3/18/2017,7,Paris,Chainsmokers
41088,3/18/2017,8,Chained To The Rhythm,Katy Perry
41089,3/18/2017,9,I Feel It Coming,Weeknd
41090,3/18/2017,10,Closer,Chainsmokers
41091,3/18/2017,11,Million Reasons,Lady Gaga
41092,3/18/2017,12,It Ain't Me,Kygo
41093,3/18/2017,13,Side To Side,Ariana Grande
41094,3/18/2017,14,Castle On The Hill,Ed Sheeran
41095,3/18/2017,15,T-Shirt,Migos
41096,3/18/2017,16,Bounce Back,Big Sean
41097,3/18/2017,17,4 Your Eyez Only,J. Cole
41098,3/18/2017,18,Bad Things,Machine Gun Kelly
41099,3/18/2017,19,24K Magic,Bruno Mars
41100,3/18/2017,20,Tunnel Vision,Kodak Black
41101,3/18/2017,21,iSpy,Kyle
41102,3/18/2017,22,Stay,Zedd
41103,3/18/2017,23,Let Me Love You,DJ Snake
41104,3/18/2017,24,Cold,Maroon 5
41105,3/18/2017,25,How Far I'll Go,Aulii Cravalho
41106,3/18/2017,26,Party Monster,Weeknd
41107,3/18/2017,27,Slide,"Calvin Harris, Frank Ocean"
41108,3/18/2017,28,No Favors,Big Sean
41109,3/18/2017,29,Selfish,Future
41110,3/18/2017,30,Issues,Julia Michaels
41111,3/18/2017,31,Draco,Future
41112,3/18/2017,32,Ville Mentality,J. Cole
41113,3/18/2017,33,Body Like A Back Road,Sam Hunt
41114,3/18/2017,34,Swang,Rae Sremmurd
41115,3/18/2017,35,Comin Out Strong,Future
41116,3/18/2017,36,How Would You Feel (Paean),Ed Sheeran
41117,3/18/2017,37,Black Beatles,Rae Sremmurd
41118,3/18/2017,38,X,21 Savage
41119,3/18/2017,39,Starboy,Weeknd
41120,3/18/2017,40,Congratulations,Post Malone
41121,3/25/2017,1,Shape Of You,Ed Sheeran
41122,3/25/2017,2,Bad And Boujee,Migos
41123,3/25/2017,3,That's What I Like,Bruno Mars
41124,3/25/2017,4,I Don't Wanna Live Forever,Zayn
41125,3/25/2017,5,Love On The Brain,Rihanna
41126,3/25/2017,6,Tunnel Vision,Kodak Black
41127,3/25/2017,7,Paris,Chainsmokers
41128,3/25/2017,8,Bounce Back,Big Sean
41129,3/25/2017,9,Something Just Like This,Chainsmokers
41130,3/25/2017,10,It Ain't Me,Kygo
41131,3/25/2017,11,Chained To The Rhythm,Katy Perry
41132,3/25/2017,12,Bad Things,Machine Gun Kelly
41133,3/25/2017,13,I Feel It Coming,Weeknd
41134,3/25/2017,14,Million Reasons,Lady Gaga
41135,3/25/2017,15,Green Light,Lorde
41136,3/25/2017,16,Side To Side,Ariana Grande
41137,3/25/2017,17,iSpy,Kyle
41138,3/25/2017,18,4 Your Eyez Only,J. Cole
41139,3/25/2017,19,Stay,Zedd
41140,3/25/2017,20,T-Shirt,Migos
41141,3/25/2017,21,24K Magic,Bruno Mars
41142,3/25/2017,22,Closer,Chainsmokers
41143,3/25/2017,23,Selfish,Future
41144,3/25/2017,24,Issues,Julia Michaels
41145,3/25/2017,25,Ville Mentality,J. Cole
41146,3/25/2017,26,Mask Off,Future
41147,3/25/2017,27,Let Me Love You,DJ Snake
41148,3/25/2017,28,No Favors,Big Sean
41149,3/25/2017,29,Swang,Rae Sremmurd
41150,3/25/2017,30,Slide,"Calvin Harris, Frank Ocean"
41151,3/25/2017,31,Perfect,Ed Sheeran
41152,3/25/2017,32,How Far I'll Go,Aulii Cravalho
41153,3/25/2017,33,Location,Khalid
41154,3/25/2017,34,Body Like A Back Road,Sam Hunt
41155,3/25/2017,35,Comin Out Strong,Future
41156,3/25/2017,36,Castle On The Hill,Ed Sheeran
41157,3/25/2017,37,How Would You Feel (Paean),Ed Sheeran
41158,3/25/2017,38,Draco,Future
41159,3/25/2017,39,Black Beatles,Rae Sremmurd
41160,3/25/2017,40,Believer,Imagine Dragons
41161,4/1/2017,1,Shape Of You,Ed Sheeran
41162,4/1/2017,2,That's What I Like,Bruno Mars
41163,4/1/2017,3,Bad And Boujee,Migos
41164,4/1/2017,4,I Don't Wanna Live Forever,Zayn
41165,4/1/2017,5,I Feel It Coming,Weeknd
41166,4/1/2017,6,Tunnel Vision,Kodak Black
41167,4/1/2017,7,Love On The Brain,Rihanna
41168,4/1/2017,8,iSpy,Kyle
41169,4/1/2017,9,Paris,Chainsmokers
41170,4/1/2017,10,Bad Things,Machine Gun Kelly
41171,4/1/2017,11,Chained To The Rhythm,Katy Perry
41172,4/1/2017,12,No Frauds,"Nicki Minaj, Drake"
41173,4/1/2017,13,Something Just Like This,Chainsmokers
41174,4/1/2017,14,Side To Side,Ariana Grande
41175,4/1/2017,15,Bounce Back,Big Sean
41176,4/1/2017,16,Million Reasons,Lady Gaga
41177,4/1/2017,17,It Ain't Me,Kygo
41178,4/1/2017,18,Green Light,Lorde
41179,4/1/2017,19,T-Shirt,Migos
41180,4/1/2017,20,Issues,Julia Michaels
41181,4/1/2017,21,Stay,Zedd
41182,4/1/2017,22,Closer,Chainsmokers
41183,4/1/2017,23,Ville Mentality,J. Cole
41184,4/1/2017,24,4 Your Eyez Only,J. Cole
41185,4/1/2017,25,Mask Off,Future
41186,4/1/2017,26,No Favors,Big Sean
41187,4/1/2017,27,24K Magic,Bruno Mars
41188,4/1/2017,28,Swang,Rae Sremmurd
41189,4/1/2017,29,Rolex,Ayo
41190,4/1/2017,30,Selfish,Future
41191,4/1/2017,31,Let Me Love You,DJ Snake
41192,4/1/2017,32,Dirt On My Boots,Jon Pardi
41193,4/1/2017,33,Castle On The Hill,Ed Sheeran
41194,4/1/2017,34,Body Like A Back Road,Sam Hunt
41195,4/1/2017,35,How Far I'll Go,Aulii Cravalho
41196,4/1/2017,36,Slide,"Calvin Harris, Frank Ocean"
41197,4/1/2017,37,Draco,Future
41198,4/1/2017,38,Location,Khalid
41199,4/1/2017,39,Party,"Chris Brown, Usher"
41200,4/1/2017,40,How Would You Feel (Paean),Ed Sheeran
41201,4/8/2017,1,Shape Of You,Ed Sheeran
41202,4/8/2017,2,That's What I Like,Bruno Mars
41203,4/8/2017,3,I Don't Wanna Live Forever,Zayn
41204,4/8/2017,4,Bad And Boujee,Migos
41205,4/8/2017,5,I Feel It Coming,Weeknd
41206,4/8/2017,6,Tunnel Vision,Kodak Black
41207,4/8/2017,7,Love On The Brain,Rihanna
41208,4/8/2017,8,Passionfruit,Drake
41209,4/8/2017,9,Portland,Drake
41210,4/8/2017,10,Paris,Chainsmokers
41211,4/8/2017,11,Something Just Like This,Chainsmokers
41212,4/8/2017,12,Chained To The Rhythm,Katy Perry
41213,4/8/2017,13,iSpy,Kyle
41214,4/8/2017,14,Bounce Back,Big Sean
41215,4/8/2017,15,Free Smoke,Drake
41216,4/8/2017,16,Bad Things,Machine Gun Kelly
41217,4/8/2017,17,It Ain't Me,Kygo
41218,4/8/2017,18,Ville Mentality,J. Cole
41219,4/8/2017,19,Stay,Zedd
41220,4/8/2017,20,Million Reasons,Lady Gaga
41221,4/8/2017,21,T-Shirt,Migos
41222,4/8/2017,22,Closer,Chainsmokers
41223,4/8/2017,23,Issues,Julia Michaels
41224,4/8/2017,24,Gyalchester,Drake
41225,4/8/2017,25,Green Light,Lorde
41226,4/8/2017,26,Side To Side,Ariana Grande
41227,4/8/2017,27,No Frauds,"Nicki Minaj, Drake"
41228,4/8/2017,28,24K Magic,Bruno Mars
41229,4/8/2017,29,Selfish,Future
41230,4/8/2017,30,Teenage Fever,Drake
41231,4/8/2017,31,4 Your Eyez Only,J. Cole
41232,4/8/2017,32,Sacrifices,Drake
41233,4/8/2017,33,Let Me Love You,DJ Snake
41234,4/8/2017,34,Mask Off,Future
41235,4/8/2017,35,Blem,Drake
41236,4/8/2017,36,No Favors,Big Sean
41237,4/8/2017,37,No Long Talk,Drake
41238,4/8/2017,38,Slide,"Calvin Harris, Frank Ocean"
41239,4/8/2017,39,Castle On The Hill,Ed Sheeran
41240,4/8/2017,40,Swang,Rae Sremmurd
41241,4/15/2017,1,Shape Of You,Ed Sheeran
41242,4/15/2017,2,That's What I Like,Bruno Mars
41243,4/15/2017,3,Something Just Like This,Chainsmokers
41244,4/15/2017,4,I Feel It Coming,Weeknd
41245,4/15/2017,5,iSpy,Kyle
41246,4/15/2017,6,Tunnel Vision,Kodak Black
41247,4/15/2017,7,Bad And Boujee,Migos
41248,4/15/2017,8,I Don't Wanna Live Forever,Zayn
41249,4/15/2017,9,Passionfruit,Drake
41250,4/15/2017,10,Bounce Back,Big Sean
41251,4/15/2017,11,Love On The Brain,Rihanna
41252,4/15/2017,12,Paris,Chainsmokers
41253,4/15/2017,13,Free Smoke,Drake
41254,4/15/2017,14,Chained To The Rhythm,Katy Perry
41255,4/15/2017,15,Portland,Drake
41256,4/15/2017,16,Bad Things,Machine Gun Kelly
41257,4/15/2017,17,The Heart Part 4,Kendrick Lamar
41258,4/15/2017,18,Million Reasons,Lady Gaga
41259,4/15/2017,19,Ville Mentality,J. Cole
41260,4/15/2017,20,It Ain't Me,Kygo
41261,4/15/2017,21,24K Magic,Bruno Mars
41262,4/15/2017,22,Stay,Zedd
41263,4/15/2017,23,Issues,Julia Michaels
41264,4/15/2017,24,Selfish,Future
41265,4/15/2017,25,T-Shirt,Migos
41266,4/15/2017,26,4 Your Eyez Only,J. Cole
41267,4/15/2017,27,Side To Side,Ariana Grande
41268,4/15/2017,28,Gyalchester,Drake
41269,4/15/2017,29,Closer,Chainsmokers
41270,4/15/2017,30,No Frauds,"Nicki Minaj, Drake"
41271,4/15/2017,31,Rolex,Ayo
41272,4/15/2017,32,Green Light,Lorde
41273,4/15/2017,33,Teenage Fever,Drake
41274,4/15/2017,34,Million Reasons,Lady Gaga
41275,4/15/2017,35,Dirt On My Boots,Jon Pardi
41276,4/15/2017,36,Mask Off,Future
41277,4/15/2017,37,No Long Talk,Drake
41278,4/15/2017,38,Blem,Drake
41279,4/15/2017,39,Let Me Love You,DJ Snake
41280,4/15/2017,40,Castle On The Hill,Ed Sheeran
41281,4/22/2017,1,Shape Of You,Ed Sheeran
41282,4/22/2017,2,Humble.,Kendrick Lamar
41283,4/22/2017,3,That's What I Like,Bruno Mars
41284,4/22/2017,4,iSpy,Kyle
41285,4/22/2017,5,Something Just Like This,Chainsmokers
41286,4/22/2017,6,Tunnel Vision,Kodak Black
41287,4/22/2017,7,I Don't Wanna Live Forever,Zayn
41288,4/22/2017,8,Passionfruit,Drake
41289,4/22/2017,9,I Feel It Coming,Weeknd
41290,4/22/2017,10,The Heart Part 4,Kendrick Lamar
41291,4/22/2017,11,Bounce Back,Big Sean
41292,4/22/2017,12,Bad And Boujee,Migos
41293,4/22/2017,13,Chained To The Rhythm,Katy Perry
41294,4/22/2017,14,XO Tour Llif3,Lil Uzi Vert
41295,4/22/2017,15,Bad Things,Machine Gun Kelly
41296,4/22/2017,16,Love On The Brain,Rihanna
41297,4/22/2017,17,It Ain't Me,Kygo
41298,4/22/2017,18,Million Reasons,Lady Gaga
41299,4/22/2017,19,Free Smoke,Drake
41300,4/22/2017,20,Paris,Chainsmokers
41301,4/22/2017,21,Stay,Zedd
41302,4/22/2017,22,4 Your Eyez Only,J. Cole
41303,4/22/2017,23,24K Magic,Bruno Mars
41304,4/22/2017,24,Ville Mentality,J. Cole
41305,4/22/2017,25,Side To Side,Ariana Grande
41306,4/22/2017,26,Portland,Drake
41307,4/22/2017,27,The Fighter,Keith Urban
41308,4/22/2017,28,Dirt On My Boots,Jon Pardi
41309,4/22/2017,29,Selfish,Future
41310,4/22/2017,30,Gyalchester,Drake
41311,4/22/2017,31,Look At Me!,XXXTentacion
41312,4/22/2017,32,Issues,Julia Michaels
41313,4/22/2017,33,Rolex,Ayo
41314,4/22/2017,34,Mask Off,Future
41315,4/22/2017,35,Slide,"Calvin Harris, Frank Ocean"
41316,4/22/2017,36,T-Shirt,Migos
41317,4/22/2017,37,Teenage Fever,Drake
41318,4/22/2017,38,No Frauds,"Nicki Minaj, Drake"
41319,4/22/2017,39,Castle On The Hill,Ed Sheeran
41320,4/22/2017,40,Let Me Love You,DJ Snake
41321,4/29/2017,1,Shape Of You,Ed Sheeran
41322,4/29/2017,2,That's What I Like,Bruno Mars
41323,4/29/2017,3,Humble.,Kendrick Lamar
41324,4/29/2017,4,Sign Of The Times,Harry Styles
41325,4/29/2017,5,Something Just Like This,Chainsmokers
41326,4/29/2017,6,XO Tour Llif3,Lil Uzi Vert
41327,4/29/2017,7,iSpy,Kyle
41328,4/29/2017,8,Passionfruit,Drake
41329,4/29/2017,9,It Ain't Me,Kygo
41330,4/29/2017,10,I Don't Wanna Live Forever,Zayn
41331,4/29/2017,11,Tunnel Vision,Kodak Black
41332,4/29/2017,12,Bad And Boujee,Migos
41333,4/29/2017,13,I Feel It Coming,Weeknd
41334,4/29/2017,14,Bad Things,Machine Gun Kelly
41335,4/29/2017,15,Chained To The Rhythm,Katy Perry
41336,4/29/2017,16,The Heart Part 4,Kendrick Lamar
41337,4/29/2017,17,Love On The Brain,Rihanna
41338,4/29/2017,18,Bounce Back,Big Sean
41339,4/29/2017,19,4 Your Eyez Only,J. Cole
41340,4/29/2017,20,Portland,Drake
41341,4/29/2017,21,Free Smoke,Drake
41342,4/29/2017,22,24K Magic,Bruno Mars
41343,4/29/2017,23,Stay,Zedd
41344,4/29/2017,24,Million Reasons,Lady Gaga
41345,4/29/2017,25,Ville Mentality,J. Cole
41346,4/29/2017,26,The Fighter,Keith Urban
41347,4/29/2017,27,Paris,Chainsmokers
41348,4/29/2017,28,Side To Side,Ariana Grande
41349,4/29/2017,29,Selfish,Future
41350,4/29/2017,30,Gyalchester,Drake
41351,4/29/2017,31,Dirt On My Boots,Jon Pardi
41352,4/29/2017,32,Issues,Julia Michaels
41353,4/29/2017,33,In Case You Didn't Know,Brett Young
41354,4/29/2017,34,Slide,"Calvin Harris, Frank Ocean"
41355,4/29/2017,35,Teenage Fever,Drake
41356,4/29/2017,36,Rolex,Ayo
41357,4/29/2017,37,Castle On The Hill,Ed Sheeran
41358,4/29/2017,38,Look At Me!,XXXTentacion
41359,4/29/2017,39,T-Shirt,Migos
41360,4/29/2017,40,Mask Off,Future
41361,5/6/2017,1,Humble.,Kendrick Lamar
41362,5/6/2017,2,Shape Of You,Ed Sheeran
41363,5/6/2017,3,That's What I Like,Bruno Mars
41364,5/6/2017,4,DNA,Kendrick Lamar
41365,5/6/2017,5,Mask Off,Future
41366,5/6/2017,6,iSpy,Kyle
41367,5/6/2017,7,Something Just Like This,Chainsmokers
41368,5/6/2017,8,Stay,Zedd
41369,5/6/2017,9,Despacito,Luis Fonsi
41370,5/6/2017,10,Loyalty,Kendrick Lamar
41371,5/6/2017,12,XO Tour Llif3,Lil Uzi Vert
41372,5/6/2017,13,I Don't Wanna Live Forever,Zayn
41373,5/6/2017,14,It Ain't Me,Kygo
41374,5/6/2017,15,Element,Kendrick Lamar
41375,5/6/2017,16,Love,Kendrick Lamar
41376,5/6/2017,16,Chained To The Rhythm,Katy Perry
