,week,position,song,artist
251,8/18/1997,12,Men In Black,Will Smith
252,8/18/1997,13,Where's The Love,Hanson
253,8/18/1997,14,Hard To Say I'm Sorry,Az Yet
255,8/18/1997,16,Invisible Man,98 Degrees
256,8/18/1997,17,Say You'll Be There,Spice Girls
257,8/18/1997,18,Mmm Bop,Hanson
258,8/18/1997,19,A Change Would Do You Good,Sheryl Crow
259,8/18/1997,20,"Mo Money,mo Problems",Notorious B.I.G.
260,8/18/1997,21,How Do I Live,LeAnn Rimes
261,8/18/1997,22,Coco Jamboo,Mr.President
262,8/18/1997,23,Foolish Games,Jewel
263,8/18/1997,24,Push,Matchbox 20
264,8/18/1997,25,Gotham City,R. Kelly
265,8/18/1997,26,One Headlight,Wallflowers
266,8/18/1997,27,To The Moon And Back,Savage Garden
267,8/18/1997,28,Crash Into Me,Dave Matthews Band
268,8/18/1997,29,Never Make A Promise,Dru Hill
269,8/18/1997,30,Not Tonight,Lil' Kim
270,8/18/1997,31,The Difference,Wallflowers
271,8/18/1997,32,C U When U Get There,Coolio
272,8/18/1997,33,G.h.e.t.t.o.u.t.,Changing Faces
273,8/18/1997,34,Up Jumps Da Boogie,Magoo
274,8/18/1997,35,Someone,SWV
275,8/18/1997,36,You Were Meant For Me,Jewel
276,8/18/1997,37,Look Into My Eyes,Bone Thugs-N-Harmony
277,8/18/1997,38,If You Could Only See,Tonic
278,8/18/1997,39,It's Your Love,Tim McGraw
279,8/18/1997,40,You Make Me Wanna...,Usher
280,8/25/1997,1,Semi-charmed Life,Third Eye Blind
281,8/25/1997,2,Quit Playing Games (with My Heart),Backstreet Boys
282,8/25/1997,3,2 Become 1,Spice Girls
283,8/25/1997,4,Do You Know,Robyn
284,8/25/1997,5,Bitch,Meredith Brooks
285,8/25/1997,6,How Bizarre,Omc
286,8/25/1997,7,All For You,Sister Hazel
287,8/25/1997,8,Sunny Came Home,Shawn Colvin
288,8/25/1997,9,I'll Be Missing You,Puff Daddy
289,8/25/1997,10,The Freshmen,Verve Pipe
290,8/25/1997,11,Return Of The Mack,Mark Morrison
291,8/25/1997,12,Where's The Love,Hanson
292,8/25/1997,13,Men In Black,Will Smith
293,8/25/1997,14,Invisible Man,98 Degrees
295,8/25/1997,16,Coco Jamboo,Mr.President
296,8/25/1997,17,Push,Matchbox 20
297,8/25/1997,18,Foolish Games,Jewel
298,8/25/1997,19,Hard To Say I'm Sorry,Az Yet
299,8/25/1997,20,How Do I Live,LeAnn Rimes
300,8/25/1997,21,"Mo Money,mo Problems",Notorious B.I.G.
301,8/25/1997,22,Say You'll Be There,Spice Girls
302,8/25/1997,23,A Change Would Do You Good,Sheryl Crow
303,8/25/1997,24,Mmm Bop,Hanson
304,8/25/1997,25,Crash Into Me,Dave Matthews Band
305,8/25/1997,26,To The Moon And Back,Savage Garden
306,8/25/1997,27,The Difference,Wallflowers
307,8/25/1997,28,Not Tonight,Lil' Kim
308,8/25/1997,29,Never Make A Promise,Dru Hill
309,8/25/1997,30,One Headlight,Wallflowers
310,8/25/1997,31,You Make Me Wanna...,Usher
311,8/25/1997,32,Honey,Mariah Carey
312,8/25/1997,33,Up Jumps Da Boogie,Magoo
313,8/25/1997,34,C U When U Get There,Coolio
314,8/25/1997,35,Gotham City,R. Kelly
315,8/25/1997,36,Someone,SWV
316,8/25/1997,37,G.h.e.t.t.o.u.t.,Changing Faces
317,8/25/1997,38,If You Could Only See,Tonic
318,8/25/1997,39,You Were Meant For Me,Jewel
319,8/25/1997,40,When I Die,No Mercy
320,9/1/1997,1,Semi-charmed Life,Third Eye Blind
321,9/1/1997,2,Quit Playing Games (with My Heart),Backstreet Boys
322,9/1/1997,3,2 Become 1,Spice Girls
323,9/1/1997,4,All For You,Sister Hazel
324,9/1/1997,5,Do You Know,Robyn
325,9/1/1997,6,Bitch,Meredith Brooks
326,9/1/1997,7,Sunny Came Home,Shawn Colvin
327,9/1/1997,8,I'll Be Missing You,Puff Daddy
328,9/1/1997,9,How Bizarre,Omc
329,9/1/1997,10,Invisible Man,98 Degrees
330,9/1/1997,11,The Freshmen,Verve Pipe
331,9/1/1997,12,Where's The Love,Hanson
332,9/1/1997,13,Men In Black,Will Smith
333,9/1/1997,14,Return Of The Mack,Mark Morrison
334,9/1/1997,15,Foolish Games,Jewel
335,9/1/1997,16,Push,Matchbox 20
336,9/1/1997,17,Coco Jamboo,Mr.President
337,9/1/1997,18,How Do I Live,LeAnn Rimes
338,9/1/1997,19,Building A Mystery,Sarah McLachlan
340,9/1/1997,21,"Mo Money,mo Problems",Notorious B.I.G.
341,9/1/1997,22,Barbie Girl,Aqua
342,9/1/1997,23,Hard To Say I'm Sorry,Az Yet
343,9/1/1997,24,The Difference,Wallflowers
344,9/1/1997,25,Honey,Mariah Carey
345,9/1/1997,26,A Change Would Do You Good,Sheryl Crow
