week,position,song,artist
1997-08-25 00:00:00,19,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
1997-08-25 00:00:00,20,How Do I Live,LeAnn Rimes
1997-08-25 00:00:00,21,"Mo Money,mo Problems",Notorious B.I.G.
1997-08-25 00:00:00,22,Say You'll Be There,Spice Girls
1997-08-25 00:00:00,23,A Change Would Do You Good,Sheryl Crow
1997-08-25 00:00:00,24,Mmm Bop,Hanson
1997-08-25 00:00:00,25,Crash Into Me,Dave Matthews Band
1997-08-25 00:00:00,26,To The Moon And Back,Savage Garden
1997-08-25 00:00:00,27,The Difference,Wallflowers
1997-08-25 00:00:00,28,Not Tonight,"Lil' Kim Feat. Da Brat. Left Eye, Elliott And Angie Martinez"
1997-08-25 00:00:00,29,Never Make A Promise,Dru Hill
1997-08-25 00:00:00,30,One Headlight,Wallflowers
1997-08-25 00:00:00,31,You Make Me Wanna...,Usher
1997-08-25 00:00:00,32,Honey,Mariah Carey
1997-08-25 00:00:00,33,Up Jumps Da Boogie,Magoo &amp; Timbaland
1997-08-25 00:00:00,34,C U When U Get There,Coolio &amp; 40 Thevz
1997-08-25 00:00:00,35,Gotham City,R. Kelly
1997-08-25 00:00:00,36,Someone,SWV (featuring Puff Daddy)
1997-08-25 00:00:00,37,G.h.e.t.t.o.u.t.,Changing Faces
1997-08-25 00:00:00,38,If You Could Only See,Tonic
1997-08-25 00:00:00,39,You Were Meant For Me,Jewel
1997-08-25 00:00:00,40,When I Die,No Mercy
1997-09-01 00:00:00,1,Semi-charmed Life,Third Eye Blind
1997-09-01 00:00:00,2,Quit Playing Games (with My Heart),Backstreet Boys
1997-09-01 00:00:00,3,2 Become 1,Spice Girls
1997-09-01 00:00:00,4,All For You,Sister Hazel
1997-09-01 00:00:00,5,Do You Know,Robyn
1997-09-01 00:00:00,6,Bitch,Meredith Brooks
1997-09-01 00:00:00,7,Sunny Came Home,Shawn Colvin
1997-09-01 00:00:00,8,I'll Be Missing You,Puff Daddy &amp; Faith Evans
1997-09-01 00:00:00,9,How Bizarre,Omc
1997-09-01 00:00:00,10,Invisible Man,98 Degrees
1997-09-01 00:00:00,11,The Freshmen,Verve Pipe
1997-09-01 00:00:00,12,Where's The Love,Hanson
1997-09-01 00:00:00,13,Men In Black,Will Smith
1997-09-01 00:00:00,14,Return Of The Mack,Mark Morrison
1997-09-01 00:00:00,15,Foolish Games,Jewel
1997-09-01 00:00:00,16,Push,Matchbox 20
1997-09-01 00:00:00,17,Coco Jamboo,Mr.President
1997-09-01 00:00:00,18,How Do I Live,LeAnn Rimes
1997-09-01 00:00:00,19,Building A Mystery,Sarah McLachlan
1997-09-01 00:00:00,20,More Than This,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
1997-09-01 00:00:00,21,"Mo Money,mo Problems",Notorious B.I.G.
1997-09-01 00:00:00,22,Barbie Girl,Aqua
1997-09-01 00:00:00,23,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
1997-09-01 00:00:00,24,The Difference,Wallflowers
1997-09-01 00:00:00,25,Honey,Mariah Carey
1997-09-01 00:00:00,26,A Change Would Do You Good,Sheryl Crow
1997-09-01 00:00:00,27,Crash Into Me,Dave Matthews Band
