chart_order,week,position,artist,song,combo
224,9/1/97,27,Dave Matthews Band,Crash Into Me,Dave Matthews Band: Crash Into Me
225,9/1/97,30,Lil' Kim,Not Tonight,Lil' Kim: Not Tonight
226,9/1/97,31,Tonic,If You Could Only See,Tonic: If You Could Only See
227,9/1/97,32,Spice Girls,Say You'll Be There,Spice Girls: Say You'll Be There
228,9/1/97,33,Hanson,Mmm Bop,Hanson: Mmm Bop
229,9/1/97,35,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
230,9/1/97,36,Coolio,C U When U Get There,Coolio: C U When U Get There
231,9/1/97,40,Changing Faces,G.h.e.t.t.o.u.t.,Changing Faces: G.h.e.t.t.o.u.t.
232,9/8/97,1,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
233,9/8/97,2,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
234,9/8/97,3,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
235,9/8/97,6,Sister Hazel,All For You,Sister Hazel: All For You
236,9/8/97,7,Robyn,Do You Know,Robyn: Do You Know
237,9/8/97,9,Meredith Brooks,Bitch,Meredith Brooks: Bitch
238,9/8/97,10,Shawn Colvin,Sunny Came Home,Shawn Colvin: Sunny Came Home
239,9/8/97,12,Omc,How Bizarre,Omc: How Bizarre
240,9/8/97,14,Hanson,Where's The Love?,Hanson: Where's The Love?
241,9/8/97,16,Verve Pipe,The Freshmen,Verve Pipe: The Freshmen
242,9/8/97,17,Mark Morrison,Return Of The Mack,Mark Morrison: Return Of The Mack
243,9/8/97,18,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
244,9/8/97,20,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
245,9/8/97,21,Aqua,Barbie Girl,Aqua: Barbie Girl
246,9/8/97,22,Wallflowers,The Difference,Wallflowers: The Difference
247,9/8/97,24,Dave Matthews Band,Crash Into Me,Dave Matthews Band: Crash Into Me
248,9/8/97,26,Tonic,If You Could Only See,Tonic: If You Could Only See
249,9/8/97,28,Az Yet,Hard To Say I'm Sorry,Az Yet: Hard To Say I'm Sorry
250,9/8/97,29,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
251,9/8/97,31,Lil' Kim,Not Tonight,Lil' Kim: Not Tonight
252,9/8/97,33,Sugar Ray,Fly,Sugar Ray: Fly
253,9/8/97,35,Spice Girls,Say You'll Be There,Spice Girls: Say You'll Be There
254,9/8/97,36,Allure,All Cried Out,Allure: All Cried Out
255,9/8/97,37,Coolio,C U When U Get There,Coolio: C U When U Get There
256,9/8/97,39,Hanson,Mmm Bop,Hanson: Mmm Bop
257,9/8/97,40,Master P,I Miss My Homies,Master P: I Miss My Homies
258,9/15/97,1,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
259,9/15/97,2,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
260,9/15/97,3,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
261,9/15/97,6,Sister Hazel,All For You,Sister Hazel: All For You
262,9/15/97,7,Robyn,Do You Know,Robyn: Do You Know
263,9/15/97,11,Meredith Brooks,Bitch,Meredith Brooks: Bitch
264,9/15/97,12,Shawn Colvin,Sunny Came Home,Shawn Colvin: Sunny Came Home
265,9/15/97,14,Omc,How Bizarre,Omc: How Bizarre
266,9/15/97,15,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
267,9/15/97,16,Aqua,Barbie Girl,Aqua: Barbie Girl
268,9/15/97,17,Verve Pipe,The Freshmen,Verve Pipe: The Freshmen
269,9/15/97,18,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
270,9/15/97,19,Hanson,Where's The Love?,Hanson: Where's The Love?
271,9/15/97,20,Mark Morrison,Return Of The Mack,Mark Morrison: Return Of The Mack
272,9/15/97,22,Wallflowers,The Difference,Wallflowers: The Difference
273,9/15/97,23,Sugar Ray,Fly,Sugar Ray: Fly
274,9/15/97,26,Tonic,If You Could Only See,Tonic: If You Could Only See
