chart_order,week,position,artist,song,combo
29538,7/24/21,37,Doja Cat,Need To Know,Doja Cat: Need To Know
29539,7/24/21,38,Luke Combs,Forever After All,Luke Combs: Forever After All
29540,7/31/21,1,BTS,Butter,BTS: Butter
29541,7/31/21,2,Olivia Rodrigo,Good 4 U,Olivia Rodrigo: Good 4 U
29542,7/31/21,3,Dua Lipa,Levitating,Dua Lipa: Levitating
29543,7/31/21,4,Kid Laroi,Stay,Kid Laroi: Stay
29544,7/31/21,5,Doja Cat,Kiss Me More,Doja Cat: Kiss Me More
29545,7/31/21,6,Ed Sheeran,Bad Habits,Ed Sheeran: Bad Habits
29546,7/31/21,7,Lil Nas X,Montero (Call Me By Your Name),Lil Nas X: Montero (Call Me By Your Name)
29547,7/31/21,9,BTS,Permission To Dance,BTS: Permission To Dance
29548,7/31/21,10,Normani,Wild Side,Normani: Wild Side
29549,7/31/21,11,Weeknd,Save Your Tears,Weeknd: Save Your Tears
29550,7/31/21,12,Olivia Rodrigo,Deja Vu,Olivia Rodrigo: Deja Vu
29551,7/31/21,15,BIA,Whole Lotta Money,BIA: Whole Lotta Money
29552,7/31/21,16,Maroon 5,Beautiful Mistakes,Maroon 5: Beautiful Mistakes
29553,7/31/21,17,Aaron Lewis,Am I The Only One,Aaron Lewis: Am I The Only One
29554,7/31/21,19,Walker Hayes,Fancy Like,Walker Hayes: Fancy Like
29555,7/31/21,20,Doja Cat,You Right,Doja Cat: You Right
29556,7/31/21,21,Glass Animals,HeatWaves,Glass Animals: HeatWaves
29557,7/31/21,22,Doja Cat,Ain't Shit,Doja Cat: Ain't Shit
29558,7/31/21,25,Weeknd,Blinding Lights,Weeknd: Blinding Lights
29559,7/31/21,26,Chase Rice,Drinkin' Beer. Talkin' God. Amen.,Chase Rice: Drinkin' Beer. Talkin' God. Amen.
29560,7/31/21,29,Dan + Shay,Glad You Exist,Dan + Shay: Glad You Exist
29561,7/31/21,30,Cole Swindell,Single Saturday Night,Cole Swindell: Single Saturday Night
29562,7/31/21,31,Chris Young,Famous Friends,Chris Young: Famous Friends
29563,7/31/21,32,Jawsh 685,Savage Love,Jawsh 685: Savage Love
29564,7/31/21,35,Marshmello,Leave Before You Love Me,Marshmello: Leave Before You Love Me
29565,7/31/21,36,Masked Wolf,Astronaut In The Ocean,Masked Wolf: Astronaut In The Ocean
29566,7/31/21,37,Nelly,Lil Bit,Nelly: Lil Bit
29567,7/31/21,38,Doja Cat,Need To Know,Doja Cat: Need To Know
29568,7/31/21,39,Tyler The Creator,Wusyaname,Tyler The Creator: Wusyaname
29569,7/31/21,40,Luke Combs,Forever After All,Luke Combs: Forever After All
29570,8/7/21,1,BTS,Butter,BTS: Butter
29571,8/7/21,2,Lil Nas X,Industry Baby,Lil Nas X: Industry Baby
29572,8/7/21,3,Olivia Rodrigo,Good 4 U,Olivia Rodrigo: Good 4 U
29573,8/7/21,4,Kid Laroi,Stay,Kid Laroi: Stay
29574,8/7/21,5,Dua Lipa,Levitating,Dua Lipa: Levitating
29575,8/7/21,6,Doja Cat,Kiss Me More,Doja Cat: Kiss Me More
29576,8/7/21,7,Lil Nas X,Montero (Call Me By Your Name),Lil Nas X: Montero (Call Me By Your Name)
29577,8/7/21,8,Ed Sheeran,Bad Habits,Ed Sheeran: Bad Habits
29578,8/7/21,9,BTS,Permission To Dance,BTS: Permission To Dance
29579,8/7/21,10,Jason Aldean,If I Didn't Love You,Jason Aldean: If I Didn't Love You
29580,8/7/21,12,BIA,Whole Lotta Money,BIA: Whole Lotta Money
29581,8/7/21,13,Weeknd,Save Your Tears,Weeknd: Save Your Tears
29582,8/7/21,15,Normani,Wild Side,Normani: Wild Side
29583,8/7/21,16,Walker Hayes,Fancy Like,Walker Hayes: Fancy Like
29584,8/7/21,17,Aaron Lewis,Am I The Only One,Aaron Lewis: Am I The Only One
29585,8/7/21,18,Olivia Rodrigo,Deja Vu,Olivia Rodrigo: Deja Vu
29586,8/7/21,19,Doja Cat,Ain't Shit,Doja Cat: Ain't Shit
29587,8/7/21,20,Maroon 5,Beautiful Mistakes,Maroon 5: Beautiful Mistakes
29588,8/7/21,22,Chase Rice,Drinkin' Beer. Talkin' God. Amen.,Chase Rice: Drinkin' Beer. Talkin' God. Amen.
29589,8/7/21,24,Doja Cat,You Right,Doja Cat: You Right
29590,8/7/21,28,Glass Animals,HeatWaves,Glass Animals: HeatWaves
29591,8/7/21,29,Weeknd,Blinding Lights,Weeknd: Blinding Lights
29592,8/7/21,30,Cole Swindell,Single Saturday Night,Cole Swindell: Single Saturday Night
29593,8/7/21,31,Masked Wolf,Astronaut In The Ocean,Masked Wolf: Astronaut In The Ocean
29594,8/7/21,34,Chris Young,Famous Friends,Chris Young: Famous Friends
29595,8/7/21,35,Luke Combs,Forever After All,Luke Combs: Forever After All
29596,8/7/21,36,Nelly,Lil Bit,Nelly: Lil Bit
29597,8/7/21,38,Dan + Shay,Glad You Exist,Dan + Shay: Glad You Exist
29598,8/7/21,39,Doja Cat,Need To Know,Doja Cat: Need To Know
29599,8/7/21,40,Marshmello,Leave Before You Love Me,Marshmello: Leave Before You Love Me
29600,8/14/21,1,Kid Laroi,Stay,Kid Laroi: Stay
29601,8/14/21,2,Olivia Rodrigo,Good 4 U,Olivia Rodrigo: Good 4 U
29602,8/14/21,3,Dua Lipa,Levitating,Dua Lipa: Levitating
29603,8/14/21,4,BTS,Butter,BTS: Butter
29604,8/14/21,5,Ed Sheeran,Bad Habits,Ed Sheeran: Bad Habits
29605,8/14/21,6,Lil Nas X,Industry Baby,Lil Nas X: Industry Baby
29606,8/14/21,7,Doja Cat,Kiss Me More,Doja Cat: Kiss Me More
29607,8/14/21,8,Billie Eilish,Happier Than Ever,Billie Eilish: Happier Than Ever
29608,8/14/21,10,Lil Nas X,Montero (Call Me By Your Name),Lil Nas X: Montero (Call Me By Your Name)
29609,8/14/21,11,Olivia Rodrigo,Deja Vu,Olivia Rodrigo: Deja Vu
29610,8/14/21,12,Jason Aldean,If I Didn't Love You,Jason Aldean: If I Didn't Love You
29611,8/14/21,13,Doja Cat,Ain't Shit,Doja Cat: Ain't Shit
29612,8/14/21,15,Normani,Wild Side,Normani: Wild Side
29613,8/14/21,16,Maroon 5,Beautiful Mistakes,Maroon 5: Beautiful Mistakes
29614,8/14/21,17,BTS,Permission To Dance,BTS: Permission To Dance
29615,8/14/21,18,Weeknd,Save Your Tears,Weeknd: Save Your Tears
29616,8/14/21,19,Walker Hayes,Fancy Like,Walker Hayes: Fancy Like
29617,8/14/21,22,Glass Animals,HeatWaves,Glass Animals: HeatWaves
29618,8/14/21,23,BIA,Whole Lotta Money,BIA: Whole Lotta Money
29619,8/14/21,24,Chase Rice,Drinkin' Beer. Talkin' God. Amen.,Chase Rice: Drinkin' Beer. Talkin' God. Amen.
29620,8/14/21,25,Aaron Lewis,Am I The Only One,Aaron Lewis: Am I The Only One
29621,8/14/21,26,Nelly,Lil Bit,Nelly: Lil Bit
29622,8/14/21,29,Masked Wolf,Astronaut In The Ocean,Masked Wolf: Astronaut In The Ocean
29623,8/14/21,30,Weeknd,Blinding Lights,Weeknd: Blinding Lights
29624,8/14/21,33,Doja Cat,Need To Know,Doja Cat: Need To Know
29625,8/14/21,35,Doja Cat,You Right,Doja Cat: You Right
29626,8/14/21,36,Luke Combs,Forever After All,Luke Combs: Forever After All
29627,8/14/21,37,Chris Young,Famous Friends,Chris Young: Famous Friends
29628,8/14/21,38,Marshmello,Leave Before You Love Me,Marshmello: Leave Before You Love Me
29629,8/14/21,40,Cole Swindell,Single Saturday Night,Cole Swindell: Single Saturday Night
29630,8/21/21,1,Kid Laroi,Stay,Kid Laroi: Stay
29631,8/21/21,2,Olivia Rodrigo,Good 4 U,Olivia Rodrigo: Good 4 U
29632,8/21/21,3,Ed Sheeran,Bad Habits,Ed Sheeran: Bad Habits
29633,8/21/21,4,Doja Cat,Kiss Me More,Doja Cat: Kiss Me More
29634,8/21/21,5,Dua Lipa,Levitating,Dua Lipa: Levitating
29635,8/21/21,7,BTS,Butter,BTS: Butter
29636,8/21/21,8,Lil Nas X,Industry Baby,Lil Nas X: Industry Baby
29637,8/21/21,9,Lil Nas X,Montero (Call Me By Your Name),Lil Nas X: Montero (Call Me By Your Name)
29638,8/21/21,10,Olivia Rodrigo,Deja Vu,Olivia Rodrigo: Deja Vu
29639,8/21/21,11,Billie Eilish,Happier Than Ever,Billie Eilish: Happier Than Ever
29640,8/21/21,12,Normani,Wild Side,Normani: Wild Side
29641,8/21/21,14,Walker Hayes,Fancy Like,Walker Hayes: Fancy Like
29642,8/21/21,15,Jason Aldean,If I Didn't Love You,Jason Aldean: If I Didn't Love You
29643,8/21/21,16,Weeknd,Save Your Tears,Weeknd: Save Your Tears
29644,8/21/21,18,Maroon 5,Beautiful Mistakes,Maroon 5: Beautiful Mistakes
29645,8/21/21,19,Doja Cat,Ain't Shit,Doja Cat: Ain't Shit
29646,8/21/21,22,BTS,Permission To Dance,BTS: Permission To Dance
29647,8/21/21,23,Doja Cat,Need To Know,Doja Cat: Need To Know
29648,8/21/21,25,Nelly,Lil Bit,Nelly: Lil Bit
29649,8/21/21,26,Glass Animals,HeatWaves,Glass Animals: HeatWaves
29650,8/21/21,29,Masked Wolf,Astronaut In The Ocean,Masked Wolf: Astronaut In The Ocean
29651,8/21/21,30,Lainey Wilson,Things A Man Oughta Know,Lainey Wilson: Things A Man Oughta Know
29652,8/21/21,31,Aaron Lewis,Am I The Only One,Aaron Lewis: Am I The Only One
29653,8/21/21,33,BIA,Whole Lotta Money,BIA: Whole Lotta Money
29654,8/21/21,34,Weeknd,Blinding Lights,Weeknd: Blinding Lights
29655,8/21/21,35,Chris Young,Famous Friends,Chris Young: Famous Friends
29656,8/21/21,36,Marshmello,Leave Before You Love Me,Marshmello: Leave Before You Love Me
29657,8/21/21,39,Duncan Laurence,Arcade,Duncan Laurence: Arcade
29658,8/28/21,1,Kid Laroi,Stay,Kid Laroi: Stay
29659,8/28/21,2,Ed Sheeran,Bad Habits,Ed Sheeran: Bad Habits
29660,8/28/21,3,Olivia Rodrigo,Good 4 U,Olivia Rodrigo: Good 4 U
29661,8/28/21,4,Lizzo,Rumors,Lizzo: Rumors
29662,8/28/21,5,Doja Cat,Kiss Me More,Doja Cat: Kiss Me More
29663,8/28/21,6,Dua Lipa,Levitating,Dua Lipa: Levitating
29664,8/28/21,7,Lil Nas X,Industry Baby,Lil Nas X: Industry Baby
29665,8/28/21,8,BTS,Butter,BTS: Butter
29666,8/28/21,9,Olivia Rodrigo,Deja Vu,Olivia Rodrigo: Deja Vu
29667,8/28/21,11,Lil Nas X,Montero (Call Me By Your Name),Lil Nas X: Montero (Call Me By Your Name)
29668,8/28/21,14,Weeknd,Save Your Tears,Weeknd: Save Your Tears
29669,8/28/21,15,Normani,Wild Side,Normani: Wild Side
29670,8/28/21,17,Billie Eilish,Happier Than Ever,Billie Eilish: Happier Than Ever
29671,8/28/21,18,Doja Cat,Ain't Shit,Doja Cat: Ain't Shit
29672,8/28/21,20,Walker Hayes,Fancy Like,Walker Hayes: Fancy Like
29673,8/28/21,21,Doja Cat,Need To Know,Doja Cat: Need To Know
29674,8/28/21,26,Jason Aldean,If I Didn't Love You,Jason Aldean: If I Didn't Love You
29675,8/28/21,27,Aaron Lewis,Am I The Only One,Aaron Lewis: Am I The Only One
29676,8/28/21,28,Masked Wolf,Astronaut In The Ocean,Masked Wolf: Astronaut In The Ocean
29677,8/28/21,29,Nelly,Lil Bit,Nelly: Lil Bit
29678,8/28/21,30,Weeknd,Blinding Lights,Weeknd: Blinding Lights
29679,8/28/21,31,BTS,Permission To Dance,BTS: Permission To Dance
29680,8/28/21,32,Farruko,Pepas,Farruko: Pepas
29681,8/28/21,33,Chris Young,Famous Friends,Chris Young: Famous Friends
29682,8/28/21,34,BIA,Whole Lotta Money,BIA: Whole Lotta Money
29683,8/28/21,35,Glass Animals,HeatWaves,Glass Animals: HeatWaves
29684,8/28/21,36,Duncan Laurence,Arcade,Duncan Laurence: Arcade
29685,8/28/21,37,Lainey Wilson,Things A Man Oughta Know,Lainey Wilson: Things A Man Oughta Know
29686,8/28/21,38,Marshmello,Leave Before You Love Me,Marshmello: Leave Before You Love Me
29687,9/4/21,1,Kid Laroi,Stay,Kid Laroi: Stay
29688,9/4/21,2,Ed Sheeran,Bad Habits,Ed Sheeran: Bad Habits
29689,9/4/21,3,Olivia Rodrigo,Good 4 U,Olivia Rodrigo: Good 4 U
29690,9/4/21,4,Doja Cat,Kiss Me More,Doja Cat: Kiss Me More
29691,9/4/21,5,Lil Nas X,Industry Baby,Lil Nas X: Industry Baby
29692,9/4/21,6,Dua Lipa,Levitating,Dua Lipa: Levitating
29693,9/4/21,8,Lizzo,Rumors,Lizzo: Rumors
29694,9/4/21,9,Olivia Rodrigo,Deja Vu,Olivia Rodrigo: Deja Vu
29695,9/4/21,10,Weeknd,Save Your Tears,Weeknd: Save Your Tears
29696,9/4/21,11,Lil Nas X,Montero (Call Me By Your Name),Lil Nas X: Montero (Call Me By Your Name)
29697,9/4/21,13,Billie Eilish,Happier Than Ever,Billie Eilish: Happier Than Ever
29698,9/4/21,14,BTS,Butter,BTS: Butter
29699,9/4/21,15,Doja Cat,Ain't Shit,Doja Cat: Ain't Shit
29700,9/4/21,17,Jason Aldean,If I Didn't Love You,Jason Aldean: If I Didn't Love You
29701,9/4/21,19,Walker Hayes,Fancy Like,Walker Hayes: Fancy Like
29702,9/4/21,21,BTS,Permission To Dance,BTS: Permission To Dance
29703,9/4/21,23,Doja Cat,Need To Know,Doja Cat: Need To Know
29704,9/4/21,24,Aaron Lewis,Am I The Only One,Aaron Lewis: Am I The Only One
29705,9/4/21,26,Masked Wolf,Astronaut In The Ocean,Masked Wolf: Astronaut In The Ocean
29706,9/4/21,28,Weeknd,Blinding Lights,Weeknd: Blinding Lights
29707,9/4/21,30,Glass Animals,HeatWaves,Glass Animals: HeatWaves
29708,9/4/21,31,Ryan Hurd,Chasing After You,Ryan Hurd: Chasing After You
29709,9/4/21,32,Farruko,Pepas,Farruko: Pepas
29710,9/4/21,34,Marshmello,Leave Before You Love Me,Marshmello: Leave Before You Love Me
29711,9/4/21,35,Chris Young,Famous Friends,Chris Young: Famous Friends
29712,9/4/21,36,Normani,Wild Side,Normani: Wild Side
29713,9/4/21,37,Duncan Laurence,Arcade,Duncan Laurence: Arcade
29714,9/4/21,39,BIA,Whole Lotta Money,BIA: Whole Lotta Money
29715,9/4/21,40,Lainey Wilson,Things A Man Oughta Know,Lainey Wilson: Things A Man Oughta Know
29716,9/11/21,1,BTS,Butter,BTS: Butter
29717,9/11/21,2,Kid Laroi,Stay,Kid Laroi: Stay
29718,9/11/21,3,Ed Sheeran,Bad Habits,Ed Sheeran: Bad Habits
29719,9/11/21,4,Olivia Rodrigo,Good 4 U,Olivia Rodrigo: Good 4 U
29720,9/11/21,5,Doja Cat,Kiss Me More,Doja Cat: Kiss Me More
29721,9/11/21,9,Walker Hayes,Fancy Like,Walker Hayes: Fancy Like
29722,9/11/21,12,Dua Lipa,Levitating,Dua Lipa: Levitating
29723,9/11/21,13,Weeknd,Save Your Tears,Weeknd: Save Your Tears
29724,9/11/21,14,Doja Cat,Ain't Shit,Doja Cat: Ain't Shit
29725,9/11/21,15,Lil Nas X,Industry Baby,Lil Nas X: Industry Baby
29726,9/11/21,18,Baby Keem,Family Ties,Baby Keem: Family Ties
29727,9/11/21,26,Billie Eilish,Happier Than Ever,Billie Eilish: Happier Than Ever
29728,9/11/21,27,Lil Nas X,Montero (Call Me By Your Name),Lil Nas X: Montero (Call Me By Your Name)
29729,9/11/21,28,Aaron Lewis,Am I The Only One,Aaron Lewis: Am I The Only One
29730,9/11/21,30,Jason Aldean,If I Didn't Love You,Jason Aldean: If I Didn't Love You
29731,9/11/21,31,Weeknd,Blinding Lights,Weeknd: Blinding Lights
29732,9/11/21,34,Glass Animals,HeatWaves,Glass Animals: HeatWaves
29733,9/11/21,35,Normani,Wild Side,Normani: Wild Side
29734,9/11/21,36,Farruko,Pepas,Farruko: Pepas
29735,9/11/21,37,Lainey Wilson,Things A Man Oughta Know,Lainey Wilson: Things A Man Oughta Know
29736,9/11/21,39,Chris Young,Famous Friends,Chris Young: Famous Friends
29737,9/11/21,40,Marshmello,Leave Before You Love Me,Marshmello: Leave Before You Love Me
29738,9/18/21,3,Drake,Fair Trade,Drake: Fair Trade
29739,9/18/21,6,Kid Laroi,Stay,Kid Laroi: Stay
29740,9/18/21,13,Doja Cat,Kiss Me More,Doja Cat: Kiss Me More
29741,9/18/21,14,Ed Sheeran,Bad Habits,Ed Sheeran: Bad Habits
29742,9/18/21,16,BTS,Butter,BTS: Butter
29743,9/18/21,17,Weeknd,Save Your Tears,Weeknd: Save Your Tears
29744,9/18/21,20,Olivia Rodrigo,Good 4 U,Olivia Rodrigo: Good 4 U
29745,9/18/21,23,Lil Nas X,Industry Baby,Lil Nas X: Industry Baby
29746,9/18/21,24,Walker Hayes,Fancy Like,Walker Hayes: Fancy Like
29747,9/18/21,25,Doja Cat,Ain't Shit,Doja Cat: Ain't Shit
29748,9/18/21,27,Lil Nas X,Montero (Call Me By Your Name),Lil Nas X: Montero (Call Me By Your Name)
29749,9/18/21,28,Jason Aldean,If I Didn't Love You,Jason Aldean: If I Didn't Love You
29750,9/18/21,30,Dua Lipa,Levitating,Dua Lipa: Levitating
29751,9/18/21,32,Aaron Lewis,Am I The Only One,Aaron Lewis: Am I The Only One
29752,9/18/21,33,Billie Eilish,Happier Than Ever,Billie Eilish: Happier Than Ever
29753,9/18/21,36,Glass Animals,HeatWaves,Glass Animals: HeatWaves
29754,9/18/21,38,Lainey Wilson,Things A Man Oughta Know,Lainey Wilson: Things A Man Oughta Know
29755,9/18/21,39,Marshmello,Leave Before You Love Me,Marshmello: Leave Before You Love Me
29756,9/18/21,40,Chris Young,Famous Friends,Chris Young: Famous Friends
29757,9/25/21,1,Kid Laroi,Stay,Kid Laroi: Stay
29758,9/25/21,3,Ed Sheeran,Bad Habits,Ed Sheeran: Bad Habits
29759,9/25/21,5,Walker Hayes,Fancy Like,Walker Hayes: Fancy Like
29760,9/25/21,6,Lil Nas X,Industry Baby,Lil Nas X: Industry Baby
29761,9/25/21,7,Olivia Rodrigo,Good 4 U,Olivia Rodrigo: Good 4 U
29762,9/25/21,8,Doja Cat,Kiss Me More,Doja Cat: Kiss Me More
29763,9/25/21,9,Ed Sheeran,Shivers,Ed Sheeran: Shivers
29764,9/25/21,10,Dua Lipa,Levitating,Dua Lipa: Levitating
29765,9/25/21,11,BTS,Butter,BTS: Butter
29766,9/25/21,12,Weeknd,Save Your Tears,Weeknd: Save Your Tears
29767,9/25/21,13,Lil Nas X,Montero (Call Me By Your Name),Lil Nas X: Montero (Call Me By Your Name)
29768,9/25/21,14,Billie Eilish,Happier Than Ever,Billie Eilish: Happier Than Ever
29769,9/25/21,15,Jason Aldean,If I Didn't Love You,Jason Aldean: If I Didn't Love You
29770,9/25/21,18,Baby Keem,Family Ties,Baby Keem: Family Ties
29771,9/25/21,20,Doja Cat,Ain't Shit,Doja Cat: Ain't Shit
29772,9/25/21,22,Glass Animals,HeatWaves,Glass Animals: HeatWaves
29773,9/25/21,23,Marshmello,Leave Before You Love Me,Marshmello: Leave Before You Love Me
29774,9/25/21,27,Aaron Lewis,Am I The Only One,Aaron Lewis: Am I The Only One
29775,9/25/21,32,Chris Young,Famous Friends,Chris Young: Famous Friends
29776,9/25/21,33,Lainey Wilson,Things A Man Oughta Know,Lainey Wilson: Things A Man Oughta Know
29777,9/25/21,35,Drake,Fair Trade,Drake: Fair Trade
29778,9/25/21,37,Ryan Hurd,Chasing After You,Ryan Hurd: Chasing After You
29779,10/2/21,1,Kid Laroi,Stay,Kid Laroi: Stay
29780,10/2/21,2,Lil Nas X,Industry Baby,Lil Nas X: Industry Baby
29781,10/2/21,4,Ed Sheeran,Bad Habits,Ed Sheeran: Bad Habits
29782,10/2/21,5,Walker Hayes,Fancy Like,Walker Hayes: Fancy Like
29783,10/2/21,6,Olivia Rodrigo,Good 4 U,Olivia Rodrigo: Good 4 U
29784,10/2/21,7,Lil Nas X,Montero (Call Me By Your Name),Lil Nas X: Montero (Call Me By Your Name)
29785,10/2/21,8,Lil Nas X,Thats What I Want,Lil Nas X: Thats What I Want
29786,10/2/21,9,Doja Cat,Kiss Me More,Doja Cat: Kiss Me More
29787,10/2/21,10,Dua Lipa,Levitating,Dua Lipa: Levitating
29788,10/2/21,13,Ed Sheeran,Shivers,Ed Sheeran: Shivers
29789,10/2/21,14,Baby Keem,Family Ties,Baby Keem: Family Ties
29790,10/2/21,15,BTS,Butter,BTS: Butter
29791,10/2/21,17,Doja Cat,Ain't Shit,Doja Cat: Ain't Shit
29792,10/2/21,18,Weeknd,Save Your Tears,Weeknd: Save Your Tears
29793,10/2/21,19,Jason Aldean,If I Didn't Love You,Jason Aldean: If I Didn't Love You
29794,10/2/21,20,Glass Animals,HeatWaves,Glass Animals: HeatWaves
29795,10/2/21,21,Billie Eilish,Happier Than Ever,Billie Eilish: Happier Than Ever
29796,10/2/21,22,Jameson Rodgers,Cold Beer Calling My Name,Jameson Rodgers: Cold Beer Calling My Name
29797,10/2/21,27,Aaron Lewis,Am I The Only One,Aaron Lewis: Am I The Only One
29798,10/2/21,30,Marshmello,Leave Before You Love Me,Marshmello: Leave Before You Love Me
29799,10/2/21,34,Taylor Swift,Wildest Dreams,Taylor Swift: Wildest Dreams
29800,10/2/21,35,Tai Verdes,A-O-K,Tai Verdes: A-O-K
29801,10/2/21,36,Ryan Hurd,Chasing After You,Ryan Hurd: Chasing After You
29802,10/2/21,38,Lainey Wilson,Things A Man Oughta Know,Lainey Wilson: Things A Man Oughta Know
29803,10/2/21,39,Lil Nas X,Scoop,Lil Nas X: Scoop
29804,10/9/21,1,Coldplay,My Universe,Coldplay: My Universe
29805,10/9/21,2,Kid Laroi,Stay,Kid Laroi: Stay
29806,10/9/21,3,Lil Nas X,Industry Baby,Lil Nas X: Industry Baby
29807,10/9/21,5,Walker Hayes,Fancy Like,Walker Hayes: Fancy Like
29808,10/9/21,6,Ed Sheeran,Bad Habits,Ed Sheeran: Bad Habits
29809,10/9/21,7,Olivia Rodrigo,Good 4 U,Olivia Rodrigo: Good 4 U
29810,10/9/21,8,Dua Lipa,Levitating,Dua Lipa: Levitating
29811,10/9/21,9,Doja Cat,Kiss Me More,Doja Cat: Kiss Me More
29812,10/9/21,10,Lil Nas X,Montero (Call Me By Your Name),Lil Nas X: Montero (Call Me By Your Name)
29813,10/9/21,12,Doja Cat,Ain't Shit,Doja Cat: Ain't Shit
29814,10/9/21,13,Lil Nas X,Thats What I Want,Lil Nas X: Thats What I Want
29815,10/9/21,14,Jameson Rodgers,Cold Beer Calling My Name,Jameson Rodgers: Cold Beer Calling My Name
29816,10/9/21,15,Glass Animals,HeatWaves,Glass Animals: HeatWaves
29817,10/9/21,17,BTS,Butter,BTS: Butter
29818,10/9/21,18,Weeknd,Save Your Tears,Weeknd: Save Your Tears
29819,10/9/21,19,Aaron Lewis,Am I The Only One,Aaron Lewis: Am I The Only One
29820,10/9/21,20,Jason Aldean,If I Didn't Love You,Jason Aldean: If I Didn't Love You
29821,10/9/21,21,Baby Keem,Family Ties,Baby Keem: Family Ties
29822,10/9/21,24,Ed Sheeran,Shivers,Ed Sheeran: Shivers
29823,10/9/21,25,Joyner Lucas,Your Heart,Joyner Lucas: Your Heart
29824,10/9/21,26,Billie Eilish,Happier Than Ever,Billie Eilish: Happier Than Ever
29825,10/9/21,30,Tai Verdes,A-O-K,Tai Verdes: A-O-K
29826,10/9/21,37,Lil Nas X,Scoop,Lil Nas X: Scoop
29827,10/9/21,38,Marshmello,Leave Before You Love Me,Marshmello: Leave Before You Love Me
29828,10/16/21,1,Kid Laroi,Stay,Kid Laroi: Stay
29829,10/16/21,2,Lil Nas X,Industry Baby,Lil Nas X: Industry Baby
29830,10/16/21,3,Walker Hayes,Fancy Like,Walker Hayes: Fancy Like
29831,10/16/21,5,Ed Sheeran,Bad Habits,Ed Sheeran: Bad Habits
29832,10/16/21,6,Olivia Rodrigo,Good 4 U,Olivia Rodrigo: Good 4 U
29833,10/16/21,7,Doja Cat,Kiss Me More,Doja Cat: Kiss Me More
29834,10/16/21,8,Dua Lipa,Levitating,Dua Lipa: Levitating
29835,10/16/21,9,Coldplay,My Universe,Coldplay: My Universe
29836,10/16/21,10,Lil Nas X,Montero (Call Me By Your Name),Lil Nas X: Montero (Call Me By Your Name)
29837,10/16/21,13,Jameson Rodgers,Cold Beer Calling My Name,Jameson Rodgers: Cold Beer Calling My Name
29838,10/16/21,14,Doja Cat,Ain't Shit,Doja Cat: Ain't Shit
29839,10/16/21,15,Baby Keem,Family Ties,Baby Keem: Family Ties
29840,10/16/21,16,BTS,Butter,BTS: Butter
29841,10/16/21,17,Glass Animals,HeatWaves,Glass Animals: HeatWaves
29842,10/16/21,18,Lil Nas X,Thats What I Want,Lil Nas X: Thats What I Want
29843,10/16/21,20,Ed Sheeran,Shivers,Ed Sheeran: Shivers
29844,10/16/21,21,Aaron Lewis,Am I The Only One,Aaron Lewis: Am I The Only One
29845,10/16/21,22,Tai Verdes,A-O-K,Tai Verdes: A-O-K
29846,10/16/21,23,Jason Aldean,If I Didn't Love You,Jason Aldean: If I Didn't Love You
29847,10/16/21,24,Lee Brice,Memory I Don't Mess With,Lee Brice: Memory I Don't Mess With
29848,10/16/21,25,Weeknd,Save Your Tears,Weeknd: Save Your Tears
29849,10/16/21,29,Joyner Lucas,Your Heart,Joyner Lucas: Your Heart
29850,10/16/21,31,Marshmello,Leave Before You Love Me,Marshmello: Leave Before You Love Me
29851,10/16/21,33,Billie Eilish,Happier Than Ever,Billie Eilish: Happier Than Ever
29852,10/16/21,35,Lil Nas X,Scoop,Lil Nas X: Scoop
29853,10/16/21,36,Capella Grey,Gyalis,Capella Grey: Gyalis
29854,10/23/21,1,Lil Nas X,Industry Baby,Lil Nas X: Industry Baby
29855,10/23/21,2,Kid Laroi,Stay,Kid Laroi: Stay
29856,10/23/21,3,Walker Hayes,Fancy Like,Walker Hayes: Fancy Like
29857,10/23/21,4,Ed Sheeran,Bad Habits,Ed Sheeran: Bad Habits
29858,10/23/21,6,Doja Cat,Kiss Me More,Doja Cat: Kiss Me More
29859,10/23/21,7,Dua Lipa,Levitating,Dua Lipa: Levitating
29860,10/23/21,8,Ed Sheeran,Shivers,Ed Sheeran: Shivers
29861,10/23/21,9,Lil Nas X,Thats What I Want,Lil Nas X: Thats What I Want
29862,10/23/21,10,Glass Animals,HeatWaves,Glass Animals: HeatWaves
29863,10/23/21,11,Jameson Rodgers,Cold Beer Calling My Name,Jameson Rodgers: Cold Beer Calling My Name
29864,10/23/21,12,Lil Nas X,Montero (Call Me By Your Name),Lil Nas X: Montero (Call Me By Your Name)
29865,10/23/21,16,Olivia Rodrigo,Good 4 U,Olivia Rodrigo: Good 4 U
29866,10/23/21,17,Coldplay,My Universe,Coldplay: My Universe
29867,10/23/21,18,Jason Aldean,If I Didn't Love You,Jason Aldean: If I Didn't Love You
29868,10/23/21,19,BTS,Butter,BTS: Butter
29869,10/23/21,20,Doja Cat,Ain't Shit,Doja Cat: Ain't Shit
29870,10/23/21,21,Lee Brice,Memory I Don't Mess With,Lee Brice: Memory I Don't Mess With
29871,10/23/21,22,Elvie Shane,My Boy,Elvie Shane: My Boy
29872,10/23/21,25,Baby Keem,Family Ties,Baby Keem: Family Ties
29873,10/23/21,26,Justin Bieber,Ghost,Justin Bieber: Ghost
29874,10/23/21,28,Aaron Lewis,Am I The Only One,Aaron Lewis: Am I The Only One
