chart_order,week,position,song,artist,combo_str
21269,2014-08-30,32,Come With Me Now,Kongos,KongosCome With Me Now
21270,2014-08-30,34,Happy,Pharrell Williams,Pharrell WilliamsHappy
21271,2014-09-06,3,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21272,2014-09-06,4,Stay With Me,Sam Smith,Sam SmithStay With Me
21273,2014-09-06,6,Chandelier,Sia,SiaChandelier
21274,2014-09-06,8,Maps,Maroon 5,Maroon 5Maps
21275,2014-09-06,10,Fancy,Iggy Azalea,Iggy AzaleaFancy
21276,2014-09-06,11,All Of Me,John Legend,John LegendAll Of Me
21277,2014-09-06,12,Black Widow,Iggy Azalea,Iggy AzaleaBlack Widow
21278,2014-09-06,13,Bailando,Enrique Iglesias,Enrique IglesiasBailando
21279,2014-09-06,14,Summer,Calvin Harris,Calvin HarrisSummer
21280,2014-09-06,15,Shower,Becky G,Becky GShower
21281,2014-09-06,19,Drunk On A Plane,Dierks Bentley,Dierks BentleyDrunk On A Plane
21282,2014-09-06,20,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21283,2014-09-06,21,Play It Again,Luke Bryan,Luke BryanPlay It Again
21284,2014-09-06,22,Stay The Night,Zedd,ZeddStay The Night
21285,2014-09-06,25,Classic,MKTO,MKTOClassic
21286,2014-09-06,26,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21287,2014-09-06,27,Cool Kids,Echosmith,EchosmithCool Kids
21288,2014-09-06,29,A Sky Full Of Stars,Coldplay,ColdplayA Sky Full Of Stars
21289,2014-09-06,30,Somethin' Bad,Miranda Lambert,Miranda LambertSomethin' Bad
21290,2014-09-06,32,Latch,Disclosure,DisclosureLatch
21291,2014-09-06,39,Come With Me Now,Kongos,KongosCome With Me Now
21292,2014-09-06,40,Happy,Pharrell Williams,Pharrell WilliamsHappy
21293,2014-09-13,2,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21294,2014-09-13,5,Stay With Me,Sam Smith,Sam SmithStay With Me
21295,2014-09-13,6,Chandelier,Sia,SiaChandelier
21296,2014-09-13,8,Maps,Maroon 5,Maroon 5Maps
21297,2014-09-13,10,Fancy,Iggy Azalea,Iggy AzaleaFancy
21298,2014-09-13,11,Bailando,Enrique Iglesias,Enrique IglesiasBailando
21299,2014-09-13,13,Shower,Becky G,Becky GShower
21300,2014-09-13,14,Summer,Calvin Harris,Calvin HarrisSummer
21301,2014-09-13,15,All Of Me,John Legend,John LegendAll Of Me
21302,2014-09-13,16,Drunk On A Plane,Dierks Bentley,Dierks BentleyDrunk On A Plane
21303,2014-09-13,17,Black Widow,Iggy Azalea,Iggy AzaleaBlack Widow
21304,2014-09-13,20,Stay The Night,Zedd,ZeddStay The Night
21305,2014-09-13,21,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21306,2014-09-13,22,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21307,2014-09-13,26,Play It Again,Luke Bryan,Luke BryanPlay It Again
21308,2014-09-13,27,Somethin' Bad,Miranda Lambert,Miranda LambertSomethin' Bad
21309,2014-09-13,28,Cool Kids,Echosmith,EchosmithCool Kids
21310,2014-09-13,29,Latch,Disclosure,DisclosureLatch
21311,2014-09-13,31,Classic,MKTO,MKTOClassic
21312,2014-09-13,33,A Sky Full Of Stars,Coldplay,ColdplayA Sky Full Of Stars
21313,2014-09-13,36,Come With Me Now,Kongos,KongosCome With Me Now
21314,2014-09-13,39,Happy,Pharrell Williams,Pharrell WilliamsHappy
21315,2014-09-20,1,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21316,2014-09-20,5,Black Widow,Iggy Azalea,Iggy AzaleaBlack Widow
21317,2014-09-20,6,Stay With Me,Sam Smith,Sam SmithStay With Me
21318,2014-09-20,9,Maps,Maroon 5,Maroon 5Maps
21319,2014-09-20,10,Chandelier,Sia,SiaChandelier
21320,2014-09-20,12,Rather Be,Clean Bandit,Clean BanditRather Be
21321,2014-09-20,13,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21322,2014-09-20,15,Bailando,Enrique Iglesias,Enrique IglesiasBailando
21323,2014-09-20,16,Fancy,Iggy Azalea,Iggy AzaleaFancy
21324,2014-09-20,18,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21325,2014-09-20,20,Burnin' It Down,Jason Aldean,Jason AldeanBurnin' It Down
21326,2014-09-20,21,Latch,Disclosure,DisclosureLatch
21327,2014-09-20,22,All Of Me,John Legend,John LegendAll Of Me
21328,2014-09-20,23,Cool Kids,Echosmith,EchosmithCool Kids
21329,2014-09-20,25,A Sky Full Of Stars,Coldplay,ColdplayA Sky Full Of Stars
21330,2014-09-20,26,Happy,Pharrell Williams,Pharrell WilliamsHappy
21331,2014-09-20,28,Shower,Becky G,Becky GShower
21332,2014-09-20,29,American Kids,Kenny Chesney,Kenny ChesneyAmerican Kids
21333,2014-09-20,31,Lifestyle,Rich Gang,Rich GangLifestyle
21334,2014-09-20,32,Dark Horse,Katy Perry,Katy PerryDark Horse
21335,2014-09-20,34,2 On,Tinashe,Tinashe2 On
21336,2014-09-20,40,Bartender,Lady Antebellum,Lady AntebellumBartender
21337,2014-09-27,1,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21338,2014-09-27,4,Black Widow,Iggy Azalea,Iggy AzaleaBlack Widow
21339,2014-09-27,6,Stay With Me,Sam Smith,Sam SmithStay With Me
21340,2014-09-27,7,Maps,Maroon 5,Maroon 5Maps
21341,2014-09-27,11,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21342,2014-09-27,12,Chandelier,Sia,SiaChandelier
21343,2014-09-27,13,Cool Kids,Echosmith,EchosmithCool Kids
21344,2014-09-27,15,Bailando,Enrique Iglesias,Enrique IglesiasBailando
21345,2014-09-27,16,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21346,2014-09-27,17,Rather Be,Clean Bandit,Clean BanditRather Be
21347,2014-09-27,18,Burnin' It Down,Jason Aldean,Jason AldeanBurnin' It Down
21348,2014-09-27,20,Centuries,Fall Out Boy,Fall Out BoyCenturies
21349,2014-09-27,21,Latch,Disclosure,DisclosureLatch
21350,2014-09-27,22,A Sky Full Of Stars,Coldplay,ColdplayA Sky Full Of Stars
21351,2014-09-27,23,Fancy,Iggy Azalea,Iggy AzaleaFancy
21352,2014-09-27,27,Happy,Pharrell Williams,Pharrell WilliamsHappy
21353,2014-09-27,28,American Kids,Kenny Chesney,Kenny ChesneyAmerican Kids
21354,2014-09-27,29,All Of Me,John Legend,John LegendAll Of Me
21355,2014-09-27,30,Shower,Becky G,Becky GShower
21356,2014-09-27,33,2 On,Tinashe,Tinashe2 On
21357,2014-09-27,35,Lifestyle,Rich Gang,Rich GangLifestyle
21358,2014-09-27,38,Dark Horse,Katy Perry,Katy PerryDark Horse
21359,2014-10-04,1,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21360,2014-10-04,5,Black Widow,Iggy Azalea,Iggy AzaleaBlack Widow
21361,2014-10-04,6,Stay With Me,Sam Smith,Sam SmithStay With Me
21362,2014-10-04,9,Cool Kids,Echosmith,EchosmithCool Kids
21363,2014-10-04,10,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21364,2014-10-04,11,Maps,Maroon 5,Maroon 5Maps
21365,2014-10-04,13,Bailando,Enrique Iglesias,Enrique IglesiasBailando
21366,2014-10-04,14,Chandelier,Sia,SiaChandelier
21367,2014-10-04,17,Centuries,Fall Out Boy,Fall Out BoyCenturies
21368,2014-10-04,19,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21369,2014-10-04,21,Rather Be,Clean Bandit,Clean BanditRather Be
21370,2014-10-04,22,A Sky Full Of Stars,Coldplay,ColdplayA Sky Full Of Stars
21371,2014-10-04,24,Fireball,Pitbull,PitbullFireball
21372,2014-10-04,25,Shower,Becky G,Becky GShower
21373,2014-10-04,28,Fancy,Iggy Azalea,Iggy AzaleaFancy
21374,2014-10-04,29,Latch,Disclosure,DisclosureLatch
21375,2014-10-04,31,Burnin' It Down,Jason Aldean,Jason AldeanBurnin' It Down
21376,2014-10-04,34,2 On,Tinashe,Tinashe2 On
21377,2014-10-04,35,All Of Me,John Legend,John LegendAll Of Me
21378,2014-10-04,39,American Kids,Kenny Chesney,Kenny ChesneyAmerican Kids
21379,2014-10-11,1,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21380,2014-10-11,4,Black Widow,Iggy Azalea,Iggy AzaleaBlack Widow
21381,2014-10-11,6,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21382,2014-10-11,7,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21383,2014-10-11,10,Stay With Me,Sam Smith,Sam SmithStay With Me
21384,2014-10-11,11,Cool Kids,Echosmith,EchosmithCool Kids
21385,2014-10-11,16,Maps,Maroon 5,Maroon 5Maps
21386,2014-10-11,17,A Sky Full Of Stars,Coldplay,ColdplayA Sky Full Of Stars
21387,2014-10-11,18,Centuries,Fall Out Boy,Fall Out BoyCenturies
21388,2014-10-11,19,Fireball,Pitbull,PitbullFireball
21389,2014-10-11,20,Bailando,Enrique Iglesias,Enrique IglesiasBailando
21390,2014-10-11,22,Chandelier,Sia,SiaChandelier
21391,2014-10-11,26,Rather Be,Clean Bandit,Clean BanditRather Be
21392,2014-10-11,27,Burnin' It Down,Jason Aldean,Jason AldeanBurnin' It Down
21393,2014-10-11,28,Animals,Maroon 5,Maroon 5Animals
21394,2014-10-11,32,i,Kendrick Lamar,Kendrick Lamari
21395,2014-10-11,33,Fancy,Iggy Azalea,Iggy AzaleaFancy
21396,2014-10-11,36,Latch,Disclosure,DisclosureLatch
21397,2014-10-11,37,Shower,Becky G,Becky GShower
21398,2014-10-11,39,American Kids,Kenny Chesney,Kenny ChesneyAmerican Kids
21399,2014-10-11,40,All Of Me,John Legend,John LegendAll Of Me
21400,2014-10-18,1,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21401,2014-10-18,3,Black Widow,Iggy Azalea,Iggy AzaleaBlack Widow
21402,2014-10-18,6,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21403,2014-10-18,7,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21404,2014-10-18,8,Animals,Maroon 5,Maroon 5Animals
21405,2014-10-18,9,Stay With Me,Sam Smith,Sam SmithStay With Me
21406,2014-10-18,10,Steal My Girl,One Direction,One DirectionSteal My Girl
21407,2014-10-18,12,Cool Kids,Echosmith,EchosmithCool Kids
21408,2014-10-18,15,Fireball,Pitbull,PitbullFireball
21409,2014-10-18,21,Centuries,Fall Out Boy,Fall Out BoyCenturies
21410,2014-10-18,22,Chandelier,Sia,SiaChandelier
21411,2014-10-18,24,A Sky Full Of Stars,Coldplay,ColdplayA Sky Full Of Stars
21412,2014-10-18,26,Bailando,Enrique Iglesias,Enrique IglesiasBailando
21413,2014-10-18,27,Maps,Maroon 5,Maroon 5Maps
21414,2014-10-18,28,Burnin' It Down,Jason Aldean,Jason AldeanBurnin' It Down
21415,2014-10-18,30,i,Kendrick Lamar,Kendrick Lamari
21416,2014-10-18,36,Fancy,Iggy Azalea,Iggy AzaleaFancy
21417,2014-10-18,37,Shower,Becky G,Becky GShower
21418,2014-10-18,38,All Of Me,John Legend,John LegendAll Of Me
21419,2014-10-18,39,Jealous,Nick Jonas,Nick JonasJealous
21420,2014-10-25,1,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21421,2014-10-25,3,Black Widow,Iggy Azalea,Iggy AzaleaBlack Widow
21422,2014-10-25,4,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21423,2014-10-25,6,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21424,2014-10-25,7,Animals,Maroon 5,Maroon 5Animals
21425,2014-10-25,9,Stay With Me,Sam Smith,Sam SmithStay With Me
21426,2014-10-25,12,Cool Kids,Echosmith,EchosmithCool Kids
21427,2014-10-25,14,Steal My Girl,One Direction,One DirectionSteal My Girl
21428,2014-10-25,15,Fireball,Pitbull,PitbullFireball
21429,2014-10-25,18,I'm Not The Only One,Sam Smith,Sam SmithI'm Not The Only One
21430,2014-10-25,19,Bailando,Enrique Iglesias,Enrique IglesiasBailando
21431,2014-10-25,21,Centuries,Fall Out Boy,Fall Out BoyCenturies
21432,2014-10-25,27,Maps,Maroon 5,Maroon 5Maps
21433,2014-10-25,28,Chandelier,Sia,SiaChandelier
21434,2014-10-25,29,Ew!,Jimmy Fallon,Jimmy FallonEw!
21435,2014-10-25,30,A Sky Full Of Stars,Coldplay,ColdplayA Sky Full Of Stars
21436,2014-10-25,31,Latch,Disclosure,DisclosureLatch
21437,2014-10-25,34,i,Kendrick Lamar,Kendrick Lamari
21438,2014-10-25,37,Burnin' It Down,Jason Aldean,Jason AldeanBurnin' It Down
21439,2014-10-25,38,All Of Me,John Legend,John LegendAll Of Me
21440,2014-10-25,40,Shower,Becky G,Becky GShower
21441,2014-11-01,1,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21442,2014-11-01,4,Black Widow,Iggy Azalea,Iggy AzaleaBlack Widow
21443,2014-11-01,5,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21444,2014-11-01,6,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21445,2014-11-01,8,Stay With Me,Sam Smith,Sam SmithStay With Me
21446,2014-11-01,9,Animals,Maroon 5,Maroon 5Animals
21447,2014-11-01,14,Bailando,Enrique Iglesias,Enrique IglesiasBailando
21448,2014-11-01,15,Fireball,Pitbull,PitbullFireball
21449,2014-11-01,17,I'm Not The Only One,Sam Smith,Sam SmithI'm Not The Only One
21450,2014-11-01,18,Cool Kids,Echosmith,EchosmithCool Kids
21451,2014-11-01,19,Maps,Maroon 5,Maroon 5Maps
21452,2014-11-01,23,A Sky Full Of Stars,Coldplay,ColdplayA Sky Full Of Stars
21453,2014-11-01,27,i,Kendrick Lamar,Kendrick Lamari
21454,2014-11-01,28,Take Me To Church,Hozier,HozierTake Me To Church
21455,2014-11-01,29,Chandelier,Sia,SiaChandelier
21456,2014-11-01,31,Centuries,Fall Out Boy,Fall Out BoyCenturies
21457,2014-11-01,33,Latch,Disclosure,DisclosureLatch
21458,2014-11-01,34,Steal My Girl,One Direction,One DirectionSteal My Girl
21459,2014-11-01,37,Burnin' It Down,Jason Aldean,Jason AldeanBurnin' It Down
21460,2014-11-01,39,Shower,Becky G,Becky GShower
21461,2014-11-01,40,All Of Me,John Legend,John LegendAll Of Me
21462,2014-11-08,1,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21463,2014-11-08,3,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21464,2014-11-08,5,Animals,Maroon 5,Maroon 5Animals
21465,2014-11-08,6,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21466,2014-11-08,7,Take Me To Church,Hozier,HozierTake Me To Church
21467,2014-11-08,8,Stay With Me,Sam Smith,Sam SmithStay With Me
21468,2014-11-08,10,Black Widow,Iggy Azalea,Iggy AzaleaBlack Widow
21469,2014-11-08,12,Fireball,Pitbull,PitbullFireball
21470,2014-11-08,15,I'm Not The Only One,Sam Smith,Sam SmithI'm Not The Only One
21471,2014-11-08,17,A Sky Full Of Stars,Coldplay,ColdplayA Sky Full Of Stars
21472,2014-11-08,18,Bailando,Enrique Iglesias,Enrique IglesiasBailando
21473,2014-11-08,19,Maps,Maroon 5,Maroon 5Maps
21474,2014-11-08,21,Cool Kids,Echosmith,EchosmithCool Kids
21475,2014-11-08,27,Centuries,Fall Out Boy,Fall Out BoyCenturies
21476,2014-11-08,31,Steal My Girl,One Direction,One DirectionSteal My Girl
21477,2014-11-08,32,Tuesday,I Love Makonnen,I Love MakonnenTuesday
21478,2014-11-08,35,Chandelier,Sia,SiaChandelier
21479,2014-11-08,36,No Type,Rae Sremmurd,Rae SremmurdNo Type
21480,2014-11-08,37,i,Kendrick Lamar,Kendrick Lamari
21481,2014-11-15,2,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21482,2014-11-15,3,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21483,2014-11-15,4,Animals,Maroon 5,Maroon 5Animals
21484,2014-11-15,6,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21485,2014-11-15,8,Stay With Me,Sam Smith,Sam SmithStay With Me
21486,2014-11-15,11,Black Widow,Iggy Azalea,Iggy AzaleaBlack Widow
21487,2014-11-15,12,I'm Not The Only One,Sam Smith,Sam SmithI'm Not The Only One
21488,2014-11-15,13,Take Me To Church,Hozier,HozierTake Me To Church
21489,2014-11-15,14,Blank Space,Taylor Swift,Taylor SwiftBlank Space
21490,2014-11-15,15,Cool Kids,Echosmith,EchosmithCool Kids
21491,2014-11-15,16,Fireball,Pitbull,PitbullFireball
21492,2014-11-15,18,Maps,Maroon 5,Maroon 5Maps
21493,2014-11-15,22,Bailando,Enrique Iglesias,Enrique IglesiasBailando
21494,2014-11-15,24,A Sky Full Of Stars,Coldplay,ColdplayA Sky Full Of Stars
21495,2014-11-15,26,Tuesday,I Love Makonnen,I Love MakonnenTuesday
21496,2014-11-15,29,Steal My Girl,One Direction,One DirectionSteal My Girl
21497,2014-11-15,32,Thriller,Michael Jackson,Michael JacksonThriller
21498,2014-11-15,33,i,Kendrick Lamar,Kendrick Lamari
21499,2014-11-15,35,Chandelier,Sia,SiaChandelier
21500,2014-11-15,39,No Type,Rae Sremmurd,Rae SremmurdNo Type
21501,2014-11-22,2,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21502,2014-11-22,3,Animals,Maroon 5,Maroon 5Animals
21503,2014-11-22,4,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21504,2014-11-22,7,Take Me To Church,Hozier,HozierTake Me To Church
21505,2014-11-22,9,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21506,2014-11-22,10,I'm Not The Only One,Sam Smith,Sam SmithI'm Not The Only One
21507,2014-11-22,11,Black Widow,Iggy Azalea,Iggy AzaleaBlack Widow
21508,2014-11-22,13,Stay With Me,Sam Smith,Sam SmithStay With Me
21509,2014-11-22,15,Cool Kids,Echosmith,EchosmithCool Kids
21510,2014-11-22,17,Blank Space,Taylor Swift,Taylor SwiftBlank Space
21511,2014-11-22,18,Bailando,Enrique Iglesias,Enrique IglesiasBailando
21512,2014-11-22,19,Maps,Maroon 5,Maroon 5Maps
21513,2014-11-22,21,Tuesday,I Love Makonnen,I Love MakonnenTuesday
21514,2014-11-22,22,Fireball,Pitbull,PitbullFireball
21515,2014-11-22,31,i,Kendrick Lamar,Kendrick Lamari
21516,2014-11-22,33,Day Drinking,Little Big Town,Little Big TownDay Drinking
21517,2014-11-22,34,A Sky Full Of Stars,Coldplay,ColdplayA Sky Full Of Stars
21518,2014-11-22,37,No Type,Rae Sremmurd,Rae SremmurdNo Type
21519,2014-11-22,39,Lips Are Movin,Meghan Trainor,Meghan TrainorLips Are Movin
21520,2014-11-29,1,Blank Space,Taylor Swift,Taylor SwiftBlank Space
21521,2014-11-29,2,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21522,2014-11-29,4,Animals,Maroon 5,Maroon 5Animals
21523,2014-11-29,5,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21524,2014-11-29,6,I'm Not The Only One,Sam Smith,Sam SmithI'm Not The Only One
21525,2014-11-29,8,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21526,2014-11-29,12,Take Me To Church,Hozier,HozierTake Me To Church
21527,2014-11-29,14,Stay With Me,Sam Smith,Sam SmithStay With Me
21528,2014-11-29,17,Black Widow,Iggy Azalea,Iggy AzaleaBlack Widow
21529,2014-11-29,18,Cool Kids,Echosmith,EchosmithCool Kids
21530,2014-11-29,20,Tuesday,I Love Makonnen,I Love MakonnenTuesday
21531,2014-11-29,22,Riptide,Vance Joy,Vance JoyRiptide
21532,2014-11-29,23,Maps,Maroon 5,Maroon 5Maps
21533,2014-11-29,25,Bailando,Enrique Iglesias,Enrique IglesiasBailando
21534,2014-11-29,26,Lips Are Movin,Meghan Trainor,Meghan TrainorLips Are Movin
21535,2014-11-29,27,Fireball,Pitbull,PitbullFireball
21536,2014-11-29,30,i,Kendrick Lamar,Kendrick Lamari
21537,2014-11-29,33,No Type,Rae Sremmurd,Rae SremmurdNo Type
21538,2014-11-29,39,Day Drinking,Little Big Town,Little Big TownDay Drinking
21539,2014-11-29,40,L.A.Love (La La),Fergie,FergieL.A.Love (La La)
21540,2014-12-06,1,Blank Space,Taylor Swift,Taylor SwiftBlank Space
21541,2014-12-06,2,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21542,2014-12-06,3,Take Me To Church,Hozier,HozierTake Me To Church
21543,2014-12-06,4,Animals,Maroon 5,Maroon 5Animals
21544,2014-12-06,6,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21545,2014-12-06,8,I'm Not The Only One,Sam Smith,Sam SmithI'm Not The Only One
21546,2014-12-06,10,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21547,2014-12-06,15,Tuesday,I Love Makonnen,I Love MakonnenTuesday
21548,2014-12-06,18,Cool Kids,Echosmith,EchosmithCool Kids
21549,2014-12-06,19,Lips Are Movin,Meghan Trainor,Meghan TrainorLips Are Movin
21550,2014-12-06,21,Stay With Me,Sam Smith,Sam SmithStay With Me
21551,2014-12-06,22,"Mary, Did You Know?",Pentatonix,"PentatonixMary, Did You Know?"
21552,2014-12-06,23,Riptide,Vance Joy,Vance JoyRiptide
21553,2014-12-06,25,Black Widow,Iggy Azalea,Iggy AzaleaBlack Widow
21554,2014-12-06,29,Bailando,Enrique Iglesias,Enrique IglesiasBailando
21555,2014-12-06,31,Maps,Maroon 5,Maroon 5Maps
21556,2014-12-06,32,Day Drinking,Little Big Town,Little Big TownDay Drinking
21557,2014-12-06,33,L.A.Love (La La),Fergie,FergieL.A.Love (La La)
21558,2014-12-06,34,Thinking Out Loud,Ed Sheeran,Ed SheeranThinking Out Loud
21559,2014-12-06,35,Fireball,Pitbull,PitbullFireball
21560,2014-12-06,40,Stolen Dance,Milky Chance,Milky ChanceStolen Dance
21561,2014-12-13,1,Blank Space,Taylor Swift,Taylor SwiftBlank Space
21562,2014-12-13,2,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21563,2014-12-13,3,Take Me To Church,Hozier,HozierTake Me To Church
21564,2014-12-13,5,Animals,Maroon 5,Maroon 5Animals
21565,2014-12-13,6,I'm Not The Only One,Sam Smith,Sam SmithI'm Not The Only One
21566,2014-12-13,8,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21567,2014-12-13,10,The Hanging Tree,James Newton Howard,James Newton HowardThe Hanging Tree
21568,2014-12-13,15,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21569,2014-12-13,17,Lips Are Movin,Meghan Trainor,Meghan TrainorLips Are Movin
21570,2014-12-13,19,"Mary, Did You Know?",Pentatonix,"PentatonixMary, Did You Know?"
21571,2014-12-13,22,Riptide,Vance Joy,Vance JoyRiptide
21572,2014-12-13,24,Tuesday,I Love Makonnen,I Love MakonnenTuesday
21573,2014-12-13,28,Night Changes,One Direction,One DirectionNight Changes
21574,2014-12-13,31,CoCo,O.T. Genasis,O.T. GenasisCoCo
21575,2014-12-13,32,Cool Kids,Echosmith,EchosmithCool Kids
21576,2014-12-13,33,L.A.Love (La La),Fergie,FergieL.A.Love (La La)
21577,2014-12-13,34,Black Widow,Iggy Azalea,Iggy AzaleaBlack Widow
21578,2014-12-13,35,Stay With Me,Sam Smith,Sam SmithStay With Me
21579,2014-12-13,38,Maps,Maroon 5,Maroon 5Maps
21580,2014-12-20,1,Blank Space,Taylor Swift,Taylor SwiftBlank Space
21581,2014-12-20,2,Take Me To Church,Hozier,HozierTake Me To Church
21582,2014-12-20,3,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21583,2014-12-20,4,Animals,Maroon 5,Maroon 5Animals
21584,2014-12-20,6,I'm Not The Only One,Sam Smith,Sam SmithI'm Not The Only One
21585,2014-12-20,9,The Hanging Tree,James Newton Howard,James Newton HowardThe Hanging Tree
21586,2014-12-20,10,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21587,2014-12-20,14,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21588,2014-12-20,15,Lips Are Movin,Meghan Trainor,Meghan TrainorLips Are Movin
21589,2014-12-20,19,"Mary, Did You Know?",Pentatonix,"PentatonixMary, Did You Know?"
21590,2014-12-20,21,CoCo,O.T. Genasis,O.T. GenasisCoCo
21591,2014-12-20,22,Tuesday,I Love Makonnen,I Love MakonnenTuesday
21592,2014-12-20,29,Riptide,Vance Joy,Vance JoyRiptide
21593,2014-12-20,33,Night Changes,One Direction,One DirectionNight Changes
21594,2014-12-20,35,Maps,Maroon 5,Maroon 5Maps
21595,2014-12-20,36,L.A.Love (La La),Fergie,FergieL.A.Love (La La)
21596,2014-12-20,37,Cool Kids,Echosmith,EchosmithCool Kids
21597,2014-12-20,38,Stay With Me,Sam Smith,Sam SmithStay With Me
21598,2014-12-20,39,Black Widow,Iggy Azalea,Iggy AzaleaBlack Widow
21599,2014-12-20,40,"Mary, Did You Know?",Pentatonix,"PentatonixMary, Did You Know?"
21600,2014-12-27,1,Blank Space,Taylor Swift,Taylor SwiftBlank Space
21601,2014-12-27,2,Take Me To Church,Hozier,HozierTake Me To Church
21602,2014-12-27,4,Lips Are Movin,Meghan Trainor,Meghan TrainorLips Are Movin
21603,2014-12-27,5,I'm Not The Only One,Sam Smith,Sam SmithI'm Not The Only One
21604,2014-12-27,6,Thinking Out Loud,Ed Sheeran,Ed SheeranThinking Out Loud
21605,2014-12-27,7,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21606,2014-12-27,10,The Hanging Tree,James Newton Howard,James Newton HowardThe Hanging Tree
21607,2014-12-27,11,Animals,Maroon 5,Maroon 5Animals
21608,2014-12-27,12,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21609,2014-12-27,16,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
21610,2014-12-27,19,CoCo,O.T. Genasis,O.T. GenasisCoCo
21611,2014-12-27,21,Tuesday,I Love Makonnen,I Love MakonnenTuesday
21612,2014-12-27,24,"Mary, Did You Know?",Pentatonix,"PentatonixMary, Did You Know?"
21613,2014-12-27,32,Night Changes,One Direction,One DirectionNight Changes
21614,2014-12-27,35,L.A.Love (La La),Fergie,FergieL.A.Love (La La)
21615,2014-12-27,36,Maps,Maroon 5,Maroon 5Maps
21616,2014-12-27,39,Riptide,Vance Joy,Vance JoyRiptide
21617,2014-12-27,40,Cool Kids,Echosmith,EchosmithCool Kids
21618,2015-01-03,1,Blank Space,Taylor Swift,Taylor SwiftBlank Space
21619,2015-01-03,2,Take Me To Church,Hozier,HozierTake Me To Church
21620,2015-01-03,4,Thinking Out Loud,Ed Sheeran,Ed SheeranThinking Out Loud
21621,2015-01-03,5,Lips Are Movin,Meghan Trainor,Meghan TrainorLips Are Movin
21622,2015-01-03,6,I'm Not The Only One,Sam Smith,Sam SmithI'm Not The Only One
21623,2015-01-03,7,The Hanging Tree,James Newton Howard,James Newton HowardThe Hanging Tree
21624,2015-01-03,9,All About That Bass,Meghan Trainor,Meghan TrainorAll About That Bass
21625,2015-01-03,10,CoCo,O.T. Genasis,O.T. GenasisCoCo
21626,2015-01-03,11,Don't Tell 'Em,Jeremih,JeremihDon't Tell 'Em
21627,2015-01-03,12,Animals,Maroon 5,Maroon 5Animals
21628,2015-01-03,18,Habits (Stay High),Tove Lo,Tove LoHabits (Stay High)
